skills,occupations,id,organization,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
"['http://data.europa.eu/esco/skill/0f206574-328b-4c71-892b-8d0335ad311f', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9', 'http://data.europa.eu/esco/skill/2624158e-4a53-4667-8921-96ee7aaea7b3', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091', 'http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e', 'http://data.europa.eu/esco/occupation/196a4c75-9591-436f-9677-67252df34c22', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c', 'http://data.europa.eu/esco/occupation/fde97584-d8e3-413e-a662-511c9055357e', 'http://data.europa.eu/esco/isco/C13']",45784,,New jobs from Telecroft to staff a customer support department for a large Banking organization.,"New jobs from Telecroft to staff customer support department for large Banking organization.  
 
Basic Duties & Responsibilities

Customer service via phone, email or online chat
Understanding the customer's specialized needs and promoting optimal solutions
Informing existing customers about banking products and services
Handling customer complaints and resolving issues
Providing technical support for digital technology products and services

Training & Professional Experience

High school diploma
Developed communication skills & customer-centric perception
Excellent use of the spoken language
Excellent communication skills and teamwork spirit
Willingness to learn, sense of responsibility and orientation to results  Excellent use of Greek and good use of English  Use of a PC in a Windows environment (MS Office).
Sense of responsibility when handling sensitive information

Abilities & Skills

Ability to work in rotating shifts with five-day employment Monday-Sunday
Communication skills
Organization & time management
Confidentiality & accountability
Professionalism & consistency

Our Company provides you with:

Fixed monthly income of €900 and extra performance rally
Development prospects
Immediate Recruitment
Full time employment
Ongoing support and training
Easy access to the facilities with all MMM (near Metro and Tram station)

 Contact information: Gianna Vassilaki, Hr Recruiter| 2111073932, +30 6936129453 Email: info@telecroft.gr | www. Telecroft.gr | Ekataiou 95, 11743 Neos Kosmos",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-13,kariera.gr,169813
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57']",50805,,Resourcing Consultant,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Resource Consultant assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Resourcing Consultant role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-16,kariera.gr,170306
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57']",50806,,Resourcing Consultant,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Resource Consultant assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Resourcing Consultant role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-16,kariera.gr,170303
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3', 'http://data.europa.eu/esco/skill/f206e732-110c-47ce-a53f-f00c9d97c90d']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75']",51943,,Talent Sourcer,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Talent Sourcer assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Talent Sourcer role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-17,kariera.gr,170487
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47', 'http://data.europa.eu/esco/skill/f08e2bd6-0366-4948-a670-1f03f130126f']",['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815'],53926,,German Recruiter,"Hemmersbach provides IT infrastructure services in more than 190 countries with 50 own subsidiaries. We deliver exclusively for the leading companies in the IT industry. We go the extra mile – we not only simply enthuse our customers, but also make the world a better place: 20% of our profits go into our Direct Actions Hemmersbach Rhino Force, Hemmersbach Kids’ Family and Hemmersbach Climate Force. That’s why Hemmersbach is The Social Purpose IT Company.
Role
With a lot of passion we support Hemmerbsach to grow and provide WOW effects. Now we are looking for reinforcement for our recruiting team in Athens. If you are looking for a responsible role in Performance Recruiting and like to contribute your own ideas, we are looking forward to your recruiting power.

You are the consulting contact person for our colleagues and work closely together with different departments at Hemmersbach.
You take over the complete in-house recruiting process from end-to-end for positions in the IT and commercial environment - from the advertisement, through the pre-qualification, to the interviews and the final employment.
You work closely with the hiring manager in setting expectations and offering full HR support of high value, for the decision making process.
You accompany the new employees throughout the entire recruitment process.
The active sourcing, identification and direct approach of suitable candidates via various portals is part of our daily business.
Together with the team you support further development of recruiting strategies and the implementation of new ideas in order to optimize the performance.

Requirements

First professional experience in recruiting (preferably in the German market).
German level at least C1 and good English level.
Knowledge of applicant tracking systems and KPI measures.
Strong communication and interpersonal skills.
Hands-On and can-do mentality.

Benefits

Buddy program.
Internal career development.
International environment.
Job with purpose.
Mobile working.
Staff discounts.
Unlimited employment contract.
Private Life and Health Insurance.

Joining Hemmersbach, you will support our commitment to social responsibility. We prioritize 20% of our profits into our company owned organizations such as: 

Rhino-force.org: providing environmental protection for an endangered species
Kids-family.org: taking care of children without parents in Poland and India, turning their shelters into homes.

Join our Team! Apply now and send us your CV IN ENGLISH!",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-19,kariera.gr,171145
"['http://data.europa.eu/esco/skill/11cbcf7f-8dc3-4c9a-9ec1-37f51b5cbc19', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659', 'http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e', 'http://data.europa.eu/esco/isco/C13']",57164,,New jobs from Telecroft to staff a Credit Control Officer department.,"Basic Duties & Responsibilities

Support work in the Credit Department (insurance, international trade)
Verification of supporting documents for the granting of loans - cards
Compilation of reports and letters of guarantee

 
Training & Professional Experience

University graduates (Ideally in Economics)
Previous experience in a similar position is desirable, ideally in the banking industry
Basic knowledge of the English language and knowledge of MS Office applications
Excellent communication skills, methodical and organized


Excellent use of the spoken language
Sense of responsibility when handling sensitive information

Our Company provides you with:

High fixed monthly income
Fixed five-day, 8-hour employment
Development prospects
Immediate Recruitment
Ongoing support and training

 
Contact information: Gianna Vassilaki, Hr Recruiter| 2111073932, +30 6936129453 Email: info@telecroft.gr | www. Telecroft.gr | Ekataiou 95, 11743 Neos Kosmos",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-24,kariera.gr,171958
"['http://data.europa.eu/esco/skill/29a50780-f81b-429c-b410-7f23a492e19d', 'http://data.europa.eu/esco/skill/2a0efd9a-4a60-4edc-8561-f2754d24eeb8', 'http://data.europa.eu/esco/skill/550e2d00-bd89-4614-8e15-330ae5277af3', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/66d47084-9437-48b2-819b-c4c8214ed650', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/b1ef509e-f191-405a-8419-51663b08922e', 'http://data.europa.eu/esco/skill/c28553f4-1745-401a-82b3-7ce8460bed33', 'http://data.europa.eu/esco/skill/d80f7a28-1e75-4247-9104-de8e5f909f0a', 'http://data.europa.eu/esco/skill/de2f0ce8-f8d6-48c5-a213-4d065251cecf', 'http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba', 'http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/occupation/20786e6d-36f0-4d1e-b033-05101fa71f3c', 'http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77', 'http://data.europa.eu/esco/isco/C143']",57199,,HR Recruiter - ICAP Contact Center,"ICAP OUTSOURCING SOLUTIONS is one of the leading business to business services provider in Greece with more than 55 years of successful operation. Our services are divided into four major categories of activity: Outsourcing and HR services, Customer Service and Promotion of Products and Services by telephone and alternative communication channels, Consulting Services for Selection, Training and Development of Human Resources and B2B Claims Information and Management Services.
ICAP Contact Center is a member of ICAP OUTSOURCING SOLUTIONS. Its high-level customer care knowledge is incorporated to the ICAP Contact Center’s procedures and methodology and is offered in a value-added format to ICAP Contact Center’s customers.
ICAP Contact Center is dedicated to providing high level contact center services as an outsourcing services provider to the largest organizations in Greece, having established successful long-term cooperations through achieving its customers’ goals and preserving win-to-win relationships.
We are looking for a highly motivated and experienced Hr Recruiter to join our team. 
Responsibilities:

Handle end to end process of Mass Recruitment projects
Conduct interview sessions 
Develop and implement sourcing strategies
Attract suitable candidates through databases, online platforms, social media, etc.
Assess applicants' knowledge, skills, and experience to best suit positions
Promote company's reputation and attractiveness as a top employment opportunity
Secure candidate experience
Provide recruitment reports to line managers

Qualifications:

BSc in Human Resources Management, Organizational Psychology, or Economics relevant field
Proven work experience as an HR Recruiter 
Experience with sourcing techniques
Time management skills
Solid verbal and written communication skills both in Greek and English language
Excellent listening skills
Strong networking and relationship-building skills

The Company offers:

Standard remuneration package
Private insurance scheme
Hybrid working scheme
Bonus scheme
Dynamic working environment with opportunities of professional growth

All information received will be treated with strict confidentiality",Mid-level,Full-time,"Kallithea, Greece",EL,,,,2024-09-24,kariera.gr,171923
"['http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73']",57227,,HR Recruiter,"Basic Competencies

Managing the entire process of attracting and finding the right candidates, from posting ads to conducting interviews.
Participation in actions to promote the profile of the employer to attract top talent (employer branding) and communication with educational institutions
Designing and updating job descriptions
Flexibility in the use of online channels and professional platforms
Track key HR metrics such as time to fill (time taken to hire from the date the need was created)
Build and maintain relationships with candidates

 
Necessary qualifications:

University/Technical Degree in Business Administration/Finance/Human Resources Management.
2-4 years of relevant work experience.
Knowledge of recruitment and training processes.
Excellent communication and interpersonal skills.
Excellent organizational, time management and initiative skills. 
Flexibility and adaptability.
Confidentiality",Mid-level,Full-time,"Filothei, Greece",EL,,,,2024-09-23,kariera.gr,171882
"['http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/c85e39a4-2c40-413f-a171-45907ecdd599', 'http://data.europa.eu/esco/occupation/f4e3dd1c-f86b-4a69-8887-547255eadc79', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77', 'http://data.europa.eu/esco/isco/C1212']",59479,,Junior Recruiter,"If you have:

Proven experience in recruitment or HR
Exceptional communication and interpersonal skills
Fluency in English (fluency in German would be considered a strong asset)

Apply below and let's have a conversation about your future with us
 
Responsibilities
The HR Recruiter we are looking for, will be responsible for:

Sourcing candidates for our client’s positions
Effectively screening & interviewing potential candidates
Providing candidates with all relevant information on both, roles and clients
Submitting relevant applicants by presenting their CVs, together with an evaluation of their profile to our clients
Successfully matching jobs to candidates, evaluating job descriptions and requirements
Posting relevant adverts to attract top talent
Performing database searches as well as other CV sources
Managing the whole recruitment process
Coordinating interview schedules between clients and candidates
Providing timely feedback to candidates and clients throughout the recruitment process
Establishing and maintaining strong relationships with clients to understand their staffing needs, culture, and business objectives
Attending the company’s ongoing training to ensure top performance
Reporting to the Recruitment Supervisor, working within a defined team
Contributing positively to the company’s culture and working environm

Requirements
To be selected as an HR Recruiter you must have the following requirements:

Bachelor's degree in Human Resources, Business Administration, or a related field (or equivalent work experience)
Proven work experience as a Recruitment Specialist, Recruiter, Talent Sourcer, or similar role
Knowledge of the end-to-end recruitment process and best practices
Familiarity with applicant tracking systems and recruitment software
Strong sourcing skills and proficiency in using various recruitment platforms
Excellent communication and interpersonal skills
Proficient level of English
Fluency in German would be considered a strong asset
Ability to work well in a fast-paced environment and manage multiple priorities
Detail-oriented with exceptional organizational skills
Good team player, fast learner, positive attitude
Demonstrated ability to assess candidate qualifications and cultural fit effectively

Benefits
If you become an HR Recruiter you will have the benefits below:

Hybrid working model
Competitive salary
Bonuses and incentives: Performance-based commissions based on individual and team achievements.
Professional development: Support for ongoing learning and skill development
Career Growth Opportunities: Clear pathways for career advancement and internal promotions within the company
Work environment: A positive and inclusive work culture, collaborative teams, and a supportive management style
Private health insurance
Company laptop + mobile phone",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-25,kariera.gr,172581
"['http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73']",59525,,HR Recruiter (Thessaloniki),"Basic Competencies

Managing the entire process of attracting and finding the right candidates, from posting ads to conducting interviews.
Participation in actions to promote the profile of the employer to attract top talent (employer branding) and communication with educational institutions
Designing and updating job descriptions
Flexibility in the use of online channels and professional platforms
Track key HR metrics such as time to fill (time taken to hire from the date the need was created)
Build and maintain relationships with candidates

 
Necessary qualifications:

University/Technical Degree in Business Administration/Finance/Human Resources Management.
1-2 years of relevant work experience.
Knowledge of recruitment and training processes.
Excellent communication and interpersonal skills.
Excellent organizational, time management and initiative skills. 
Flexibility and adaptability.
Confidentiality",Entry / Junior,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-25,kariera.gr,172526
"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/0f0698e7-04e4-4bf7-9af2-e3191147525a', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730', 'http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb', 'http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75', 'http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8', 'http://data.europa.eu/esco/isco/C13', 'http://data.europa.eu/esco/isco/C5153']",59793,,Senior Recruitment Specialist,"Do you excel at identifying top talent, according to company’s needs?Do you have a proven track record in managing full-cycle recruitment processes?
ManpowerGroup Greece, on behalf of our client, a multinational construction company specialized in the EPC market, executing complex projects worldwide, is looking for a Senior Recruitment Specialist.
 
📌 Location: Athens, Greece
📍 Working Model: On-Site
🖋️You will be reporting to: Recruitment Supervisor
 
Duties/Responsibilities:
The successful candidate will enhance the existing international recruitment team by managing the full recruitment cycle as per Company’s policies and HR function’s standards.
 
More specifically:

Manage the full- cycle recruitment process effectively and efficiently as per the Recruitment function’s standards, policies and procedures while providing guidance on recruitment market trends.
Collaborate closely with the hiring managers/teams to identify the right recruitment need by determining the job requirements and candidate specifications, define key priorities, timeline, any potential gaps in the job market.
Handle managerial positions both at corporate and at site level.
Manage recruitment agencies and handling contracts with recruitment service providers.
Source, engage and build a network with active and passive candidates of high seniority to cover immediate hiring needs, as well as supply of candidates on-demand for future needs (Candidate Communities).
Participate actively in global projects focused on enhancing the recruitment infrastructure and optimizing processes.
Perform any other related duties as assigned.

 
Requirements:

University degree in HR, Organizational Psychology, Business studies.
MBA or HRM would be considered a plus.
5- 7 years of experience as a Recruiter either as a consultant or in- house; the combination of both would be ideal. Construction/Engineering Recruitment will be considered an asset.
Previous experience in a multinational environment is highly welcomed.
Experience in working with modern online recruitment systems (ATS) and sourcing tools (e.g. LinkedIn Recruiter) and following the latest recruitment trends and practices.

 
Soft Skills/ Competencies:

Ability to work successfully and productively in a team environment or independently and deal with multi-tasks effectively.
Effective and structured communication; Excellent interpersonal skills.
Strong drive for results and ability to meet deadlines.
High sense of ownership and responsibility.
Solution focused thinking.
Strong attention to detail.

 
IT/Language Skills:

Advanced knowledge of MS Office
Excellent in written and spoken English.

 
Benefits

Competitive remuneration package
Work in a dynamic and international environment
Collaborative and supportive team culture
Participation in innovative and impactful projects",Senior,Full-time,"Athens, Greece",EL,,,,2024-09-24,kariera.gr,172184
"['http://data.europa.eu/esco/skill/36359101-4488-4859-83a8-9600d9faf3f2', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/6f571969-3640-4774-a9bc-fd2ef583fdec', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/occupation/fd1c4e94-25aa-4020-b0ef-0cf5aaf2e4d2', 'http://data.europa.eu/esco/isco/C1212', 'http://data.europa.eu/esco/isco/C1411', 'http://data.europa.eu/esco/isco/C3313']",64204,,HR Recruiter,"H Hotels Collection | Hatzilazarou Group one of the leading & constantly growing groups in Greece, operating in the hospitality industry for 31 years, is offering new positions for its hotel
HR Recruiter 
Location: Lardos, South Rhodes
Type of Employment: Full Time – Indefinite Term Contract
Ref: HH/HRR
What to expect 
The ideal candidate will be responsible for efficiently and effectively filling open positions by developing local and national recruiting plans, utilizing both traditional sourcing strategies and innovative, creative recruiting ideas.
Primary responsibilities:

Develop, implement, and refine recruitment strategies.
Network through hotel contacts, association memberships, social media, and employees.
Manage the entire recruitment cycle including sourcing, screening, interviewing, and hiring.
Collaborate with department heads to understand staffing needs and ensure a steady pipeline of qualified candidates.
Develop a pool of qualified candidates in advance of need.
Ensure compliance with labor laws and internal policies.
Maintain accurate recruitment records and reporting.

 
Necessary qualifications & skills:

Bachelor’s degree in HR, business, management, accounting.
Computer literacy with excellence in social media and recruiting platforms.
Experience in recruitment, sourcing, and candidate evaluation.
Knowledge of HR policies, labor laws, and recruitment best practices.
Ability to work independently and collaboratively in a team environment.
Strong communication skills with managers, employees, and potential job candidates.
 

Within the scope of the above position, the company offers:

Competitive compensation package.
Accommodation option.
Prospects for career advancement in an ever-growing group.
Continuous training in line with the company’s standards & dynamic development.
Excellent working environment in a company that cares about its employees, the environment & local communities.

All submitted applications & information will be treated strictly confidential.
H Hotels Collection - Unique hotels in Rhodes",Mid-level,Full-time,"Lindos, Greece",EL,,,,2024-09-30,kariera.gr,173270
