organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/e7219848-a27a-4bf4-8775-d367707be7c9']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba', 'http://data.europa.eu/esco/occupation/95cd3d64-20d0-4681-857d-d6c63d07349f', 'http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c']","['Research and experimental development on social sciences and humanities', 'WHOLESALE AND RETAIL TRADE', 'Activities of head offices', 'Manufacture of beer']",226,SALES DEVELOPMENT OFFICER based in the Prefecture of Attica (Fixed Term),"Most people know OLYMPIC BREWING S.A., a member of the multinational Carlsberg Group, as well as our products, which hold a leading role both in the domestic market and internationally.
But for our Humans, we are something much bigger!
We are an organization with a strong heritage, expertise and timeless innovation, passionately brewing quality products, always with respect for our consumers and customers, local communities and the environment.
For us, also, our strength is our People! Our People, in every position, role and corner of Greece, are a source of inspiration for us to evolve, to consolidate our position in the Greek beer market and to serve our purpose every day, to Brew for a better today and tomorrow!
We are therefore looking for human resources who will bring their abilities, skills, way of thinking and personality to the workplace, enjoying an exciting work experience with us! We are an employer that supports the diversity of our People, as it is found in any social identity, seeking everyone's participation in recognition and development. That is why we strive to attract and develop talent with a global mindset, understanding of different cultures and international experience, providing a dynamic work environment that enhances diversity and active participation.
 
The main responsibilities of the position
As a Sales Development Manager you will be responsible for the successful implementation of the sales development plan in your area of ​​responsibility focusing on the effective development and management of the clientele and implementing focused channel activation actions.
The profile we are looking for

AEI/TEI Higher Education Degree
1-3 years of experience in a relevant organized sales environment will be considered a competitive advantage
Ability to use Ms Office programs
Very good knowledge of the English language
Developed communication and negotiation skills
Team behavior through the demonstration of Alignment, Responsibility & Action
Passion & integrity
Personal motivation
Ability to organize & plan work

What can you expect from us?
Our culture is based on open communication and team spirit to face daily challenges. In addition we offer:

Competitive salary and incentive package
Ongoing educational support
Growth prospects
Company car and mobile phone

 
Do you want to become a dynamic member of our team?
We expect to receive your CV by 30/09/2024.
All applications are considered confidential.",Entry / Junior,Full-time,"Kifisia, Greece",EL,,,,2024-09-09,kariera.gr,168637
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/e7219848-a27a-4bf4-8775-d367707be7c9']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba', 'http://data.europa.eu/esco/occupation/95cd3d64-20d0-4681-857d-d6c63d07349f', 'http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c']","['Research and experimental development on social sciences and humanities', 'WHOLESALE AND RETAIL TRADE', 'Activities of head offices', 'Manufacture of beer']",227,SALES DEVELOPMENT OFFICER based in the Prefecture of Attica,"Most people know OLYMPIC BREWING S.A., a member of the multinational Carlsberg Group, as well as our products, which hold a leading role both in the domestic market and internationally.
But for us Humans, we are something much bigger!
We are an organization with a strong heritage, expertise and timeless innovation, passionately brewing quality products, always with respect for our consumers and customers, local communities and the environment.
For us, also, our strength is our People! Our People, in every position, role and corner of Greece, are a source of inspiration for us to evolve, to consolidate our position in the Greek beer market and to serve our purpose every day, to Brew for a better today and tomorrow!
We are therefore looking for human resources who will bring their abilities, skills, way of thinking and personality to the workplace, enjoying an exciting work experience with us! We are an employer that supports the diversity of our People, as it is found in any social identity, seeking everyone's participation in recognition and development. That is why we strive to attract and develop talent with a global mindset, understanding of different cultures and international experience, providing a dynamic work environment that enhances diversity and active participation.
The main responsibilities of the position
As a Sales Development Manager you will be responsible for the successful implementation of the sales development plan in your area of ​​responsibility focusing on the effective development and management of the clientele and implementing focused channel activation actions.
The profile we are looking for

AEI/TEI Higher Education Degree
1-3 years of experience in a relevant organized sales environment will be considered a competitive advantage
Ability to use Ms Office programs
Very good knowledge of the English language
Developed communication and negotiation skills
Teamwork through demonstrating Alignment, Responsibility and Action
Passion and integrity
Personal motivation
Ability to organize and plan

What can you expect from us?
Our culture is based on open communication and team spirit to face daily challenges. In addition we offer:

Competitive salary and incentive package
Ongoing educational support
Growth prospects
Company car and mobile phone

Do you want to become a dynamic member of our team?
We expect to receive your CV by 20/09/2024.
All applications are considered confidential.",Mid-level,Full-time,"Kifisia, Greece",EL,,,,2024-09-09,kariera.gr,168636
,"['http://data.europa.eu/esco/skill/4377dd26-a0d6-497c-9ffe-f59308d36648', 'http://data.europa.eu/esco/skill/e0ded9a1-372d-46c8-80b5-ad994d606ef2']","['http://data.europa.eu/esco/occupation/4910419f-b4af-4f59-b544-9dbebc8a74f0', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22', 'http://data.europa.eu/esco/isco/C141', 'http://data.europa.eu/esco/isco/C2']","['Repair and maintenance of electrical equipment', 'Market research and public opinion polling', 'Manufacture of electronic components', 'Manufacture of electrical equipment', 'Engineering activities and related technical consultancy']",306,Maintenance Electrician/ Maintenance Refrigeration (2024),"The luxury hotels member of the Myconian Collection group,



Myconian Imperial Resort, member of the Leading Hotels of the World, Royal Myconian Resort, member of the Leading Hotels of the World, Myconian Villa Collection, member of Preferred Hotels & Resorts, Myconian Avaton Resort, member of Design Hotels, Myconian Utopia Resort, member of Relais & Chateaux, Myconian Ambassador, member of Relais & Chateaux, Panoptis Escape, member of Small Luxury Hotels of the World,
wish to hire for permanent employment
Maintenance-Electrician or Refrigerant
Necessary qualifications

Technical/electrical/mechanical knowledge
Previous experience in a similar position, preferably in a 4 or 5 star hotel
Pleasant and professional appearance/demeanor

Provided:

12 month employment
accommodation and insurance
food daily during hotel operation
satisfactory salary package commensurate with qualifications
possibility of professional development

We would like to inform you that after the collection and evaluation of all resumes, the Human Resources department will contact only those candidates who meet the requirements of the position to be filled in order to set an appointment for an interview. All applications are considered strictly confidential.",Mid-level,Full-time,"Mykonos, Greece",EL,,,,2024-09-07,kariera.gr,168560
,"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/15d6d4e9-9b4b-4a93-aea5-a29a67b6d9e7', 'http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849']","['http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']","['General public administration activities', 'Research and experimental development on social sciences and humanities', 'Activities of head offices']",333,Administration Secretariat,"HR Solutions, on behalf of a growing commercial company based in Thessaloniki, is looking for a candidate for the position of Administrative Secretary.
Main Responsibilities:

Organize and manage the calendar, schedule meetings and organize business trips.
Monitor the progress of tenders and deadlines, ensuring timely completion.
Monitoring contracts, agreements and insurance policies.
Communication and correspondence management, both internal and external.
Prepare reports, presentations and other documents for meetings and administrative needs.
Collaborate with other departments and coordinate administrative processes to best support management.
Handle sensitive information with discretion and professionalism.

 
Required Qualifications:

Bachelor's degree in business administration or related field.
Previous experience in a similar position.
Excellent knowledge of Greek and English.
Excellent knowledge of MS Office (Word, Excel, PowerPoint).
Ability to work under pressure and manage multiple tasks.

 Amenities:

Competitive remuneration package.
Pleasant and dynamic work environment.
Professional development prospects.",Mid-level,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-07,kariera.gr,168539
,"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77', 'http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/93a68dcb-3dc6-4dbe-b196-f6d212228a50', 'http://data.europa.eu/esco/skill/c69587b4-05d3-45bb-b79b-9b85e6603fc2', 'http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b', 'http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c']","['http://data.europa.eu/esco/occupation/55f001af-fa48-4c0c-a7e5-fc69babe3d45', 'http://data.europa.eu/esco/occupation/737c1795-844b-43ad-95b2-1bf0e8c14ddf', 'http://data.europa.eu/esco/occupation/80db1e93-6dad-49aa-b465-d64a4a73141b', 'http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5', 'http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c', 'http://data.europa.eu/esco/occupation/9905cc76-d48b-49b1-94ab-17becb30be1a', 'http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96', 'http://data.europa.eu/esco/isco/C1321', 'http://data.europa.eu/esco/isco/C6113']","['Research and experimental development on natural sciences and engineering', 'Nature reserve activities', 'Repair and maintenance of fabricated metal products', 'Manufacture of leather and related products of other materials', 'Warehousing, storage and support activities for transportation', 'Computer consultancy and computer facilities management activities', 'Tertiary education', 'Manufacture of food products']",338,Plant Manager based in Crete,"ICAP Executive Search & Selection is one of the premium consultancies and part of ICAP People & Employment Solutions, the largest HR Services Provider in Greece and Cyprus. With more than 50 years of experience, we specialize in assessing and recruiting Senior to Middle Level Executives across all sectors.ICAP Executive Search & Selection on behalf of its client, a growing Greek manufacturing company in the food industry, is looking for a Production Supervisor for their operations in Crete.
Our client is a dynamic and growing small-scale food production company known for commitment to quality and innovation. As the company continues to expand, we are seeking an experienced and dedicated professional to join their team and lead their production operations.
Production Supervisor / Irakleio, Crete
Responsibilities:

Oversee daily operations of the plant, ensuring production goals are met efficiently and on time.
Implement and maintain strict quality control procedures to ensure all products meet company standards.
Increase production, assets capacity and flexibility while minimizing unnecessary costs and maintaining current quality standards.
Ensure that the technical-maintenance department is up to date and all works are completed in time and according to schedule.
Oversee inventory levels, manage supply chain logistics, and ensure timely procurement of raw materials.
Manage, mentor, and develop a small team of production staff.
Ensure the plant operates in full compliance with safety regulations and industry standards.
Suggest opportunities to implement new investment plans.

Requirements:

Bachelor’s degree in Food Science or a related field
Minimum of 5 years of experience in a production management role in the food industry
Proven leadership and team management skills
Familiarity with industry standard equipment and technical expertise
Knowledge of productivity, quality, inventory, safety and production planning processes.
Ability to manage multiple tasks and priorities in a fast-paced environment.
Strong communication and interpersonal skills.

Benefits

Competitive salary and bonus
Relocation expenses",Senior,Full-time,"Kallithea, Greece",EL,,,,2024-09-07,kariera.gr,168524
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba', 'http://data.europa.eu/esco/occupation/95cd3d64-20d0-4681-857d-d6c63d07349f', 'http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c', 'http://data.europa.eu/esco/isco/C2433']","['Research and experimental development on social sciences and humanities', 'WHOLESALE AND RETAIL TRADE', 'Activities of head offices', 'Manufacture of beer']",341,SALES DEVELOPMENT OFFICER based in Corfu,"Most people know OLYMPIC BREWING S.A., a member of the multinational Carlsberg Group, as well as our products, which hold a leading role both in the domestic market and internationally.
But for our Humans, we are something much bigger!
We are an organization with a strong heritage, expertise and timeless innovation, passionately brewing quality products, always with respect for our consumers and customers, local communities and the environment.
For us, also, our strength is our People! Our People, in every position, role and corner of Greece, are a source of inspiration for us to evolve, to consolidate our position in the Greek beer market and to serve our purpose every day, to Brew for a better today and tomorrow!
We are therefore looking for human resources who will bring their abilities, skills, way of thinking and personality to the workplace, enjoying an exciting work experience with us! We are an employer that supports the diversity of our People, as it is found in any social identity, seeking everyone's participation in recognition and development. That is why we strive to attract and develop talent with a global mindset, understanding of different cultures and international experience, providing a dynamic work environment that enhances diversity and active participation.
The main responsibilities of the position
As a Sales Development Manager you will be responsible for the successful implementation of the sales development plan in your area of ​​responsibility (Corfu), focusing on the effective development and management of the clientele and implementing focused channel activation actions.
The profile we are looking for

AEI/TEI Higher Education Degree
1-3 years of experience in a relevant organized sales environment will be considered a competitive advantage
Ability to use Ms Office programs
Very good knowledge of the English language
Developed communication and negotiation skills
Team behavior through the demonstration of Alignment, Responsibility and Action
Passion and integrity
Personal motivation
Ability to organize and plan

 
What can you expect from us?
 Our culture is based on open communication and team spirit to face daily challenges. In addition we offer:

Competitive salary and incentive package
Ongoing educational support
Growth prospects
Company car and mobile phone
Additional medical coverage

Do you want to become a dynamic member of our team?
 
We expect to receive your CV by 30/09/2024.
All applications are considered confidential.",Mid-level,Full-time,"Corfu, Greece",EL,,,,2024-09-07,kariera.gr,168531
,"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57']","['Business and other management consultancy activities', 'Employment activities', 'Market research and public opinion polling']",353,Resourcing Consultant,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Resource Consultant assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Resourcing Consultant role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-07,kariera.gr,168517
,"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57']","['Business and other management consultancy activities', 'Employment activities', 'Market research and public opinion polling']",359,Resourcing Consultant,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Resource Consultant assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Resourcing Consultant role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-07,kariera.gr,168430
,"['http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/fcd02121-ae3e-4d20-92ee-e2e368658a45']","['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/isco/C3322']",['Activities of call centres'],362,Winback Telesales Agent,"Volton Hellenic Energy SA is a Greek company that operates dynamically and rapidly increases its capabilities in the field of Electricity Supply and Trading, in the field of Natural Gas Energy and soon enough in the field of Telecommunications.
 
By offering reliable services that meet the ever-increasing energy needs of businesses and households, Volton aims to build stable and reliable relationships with its customers. The company's ambition is to become one of the most important companies in the sector and to remain at the forefront of developments in the field of electricity and natural gas supply. The company will soon enter the telecommunications sector with the aim of further expanding its service portfolio. As part of its growth, Volton is strengthening its human resources in Athens and is looking for:
 
 Customer Retention Officer
Position Description:
The employees will be responsible for the telephone communication with the existing customers of the company, with individuals & businesses, throughout Greece, with the aim of proposing solutions to maintain high levels of customer satisfaction and their retention in the company.
 
 
The Company offers:

Fixed monthly salary with absolute consistency in its payment.
Insurance coverage.
Full time
High monthly goal achievement bonus plus high goal overachievement bonus.
Growth and development opportunities in an innovative and rapidly growing organization.
Morning hours
Five-day work: Monday – Saturday
Introductory training of one week with legal wages.
Ongoing sales development training and support.
Pleasant working environment based on meritocracy and stability.
Employment opportunities regardless of age & seniority.
Modern workplace with break rooms and restaurant-cafeteria
Easy access to the company (near METRO/ISAP)
Possibility of working from home in case of force majeure

 
Required Qualifications:

Very good computer knowledge.
Comfort and courtesy in communication.
Customer-centric mentality with an emphasis on results.
Team spirit.
Confidence and professionalism.
1-2 years of experience in an organized telephone sales environment will be considered.

 
If you also want to be part of our team, we will be happy to receive your application.
 
All applications will be strictly confidential.
Information about the company on our website www.volton.gr",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-07,kariera.gr,168511
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/af0f7625-b9fc-4f97-a71d-d7c7648bfc35', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/db27065e-3c06-4f89-aa55-48fd87dabf82', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe']","['http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C4313']","['Activities of head offices', 'Business and other management consultancy activities', 'Research and experimental development on social sciences and humanities', 'Accounting, bookkeeping and auditing activities; tax consultancy']",377,Assistant Accountant,"HR SOLUTIONS, on behalf of a growing commercial company based in western Thessaloniki, is looking for a candidate for the position:
Assistant Accountant
Responsibilities:

Entries in the C' category books.
Management of import and export files (intra-community and third countries).
Checking and recording payments and collections.
Monitoring the company's obligations as well as other customers and suppliers.
Keeping electronic books through the MyData platform.
Export of VAT, VAT, Intrastat and VIES declarations.
Preparation, compilation and control of monthly reports.
Involvement in the invoicing process and order management.
Preparation and reconciliation of accounts for the annual close.
Payroll preparation.

Necessary qualifications:

Degree in Economic Management.
Experience of at least 2 years in a similar position.
Desirable experience in the management of Government contracts and public tender procedures.
Excellent knowledge of PC and MS Office.
Knowledge of the English language.
Communication and organizational skills.
Confidentiality, consistency and ability to meet deadlines.

Amenities:

Professional development and continuing education opportunities.
Modern and structured work environment.
Competitive remuneration package.",Mid-level,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-07,kariera.gr,168499
,"['http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/f206e732-110c-47ce-a53f-f00c9d97c90d']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75', 'http://data.europa.eu/esco/isco/C1212', 'http://data.europa.eu/esco/isco/C4313']","['Computer consultancy and computer facilities management activities', 'Business and other management consultancy activities', 'Activities of head offices']",392,Internship in HR Department,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionSo, what are the main duties of an Intern in our Human Resources department?As an Intern in our HR Department in Athens, you will work with competent teams delivering challenging projects. You will be assisting in daily administrative tasks and ad-hoc projects, by engaging in a well structured international environment. Also, you will have the opportunity to gain experience in many HR domains, such as Talent Acquisition & Selection, Learning & Development and Payroll, and establish a strong candidacy for permanent employment. Have the equipment for home-based work.QualificationsWhat would make you a fit for the role:Eligibility to attend an internship program through your university or academic institutionAn Interest in Human Resources ManagementFamiliarity with Microsoft Office (especially Excel and Word)Very good knowledge of the English language (written and oral) It would also be a plus if you match some of the following:Fast learner and quick adapter in different environmentsGreat communicator with strong interpersonal skillsHighly self-motivated and methodical, with attention to detailAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!All newcomers attend a high-quality training by our internal onboarding academy, regarding the Netcompany-Intrasoft culture and digital journey. All sessions are conducted by our tech specialists, who share their knowledge on technologies and methodologies that are used in our projects, ensuring a smooth and enlightening onboarding process.By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,,,,2024-09-07,kariera.gr,168487
