organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id,source_file
,"['http://data.europa.eu/esco/skill/207f87c4-ac68-4987-990c-636ca19c2626', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83', 'http://data.europa.eu/esco/occupation/7e46c066-2b98-4eaf-bed6-9848c79902e0', 'http://data.europa.eu/esco/isco/C142', 'http://data.europa.eu/esco/isco/C421', 'http://data.europa.eu/esco/isco/C4313']","['Accommodation', 'Activities of head offices', 'Pre-primary education', 'Buying and selling of own real estate']",155,PAYROLL ASSISTANT,"The Constantinos Business Group, which operates in the Real Estate and retail trade sectors, requests
PAYROLL ASSISTANT   
Duties:

Management and processing of labor and insurance matters and electronic submission of forms.
Collection of payroll documents and payroll calculation.
Issuing and keeping records (accounting articles, payroll statements, A.P.D., F.M.Y.).
Monitoring and submission of LAEK forms.
Monitoring and submission of monthly and annual permits.
Issue of monthly financial reports.
Monitoring and updating the physical file of all the above forms.
Compilation of employment certificates for staff (Banks, kindergartens, schools, public services).

The right candidate must have:

Experience of at least 5 years in a personnel department with experience in issuing payroll.
Degree of AEI/TEI School of Economics.
Experience in labor matters/SEPE/IKA.
Good knowledge of MS Office, especially Excel and Word.
Ability to complete tasks within defined timelines.
Excellent knowledge of English.
Knowledge of Epsilon Net's Pylon program, ESS application and experience in timekeeping will be considered additional qualifications.

 
Offered:

Competitive remuneration package
Private insurance
Development prospects

 
Send resumes of candidates who meet the criteria with code PAYROLL to e-mail hr@talima.gr",Senior,Full-time,"Ilioupoli, Greece",EL,,,,2024-09-09,kariera.gr,168672,jobs_assistant_bilingual_el.csv
,[],"['http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e', 'http://data.europa.eu/esco/occupation/1a8bda86-307e-4cc0-a945-ceb678ff1471']","['Manufacture of refined petroleum products and fossil fuel products', 'General cleaning of buildings']",176,Assistant Driver,"Toi Toi Hellas SA, based in Acharnes, which operates nationwide in the field of hygiene services and especially in the rental of various types of portable toilets and corresponding trailer units, is looking for an Assistant Driver for evening work.
The suitable candidate should, after training, operate the pump and pressure assembly carried by the vehicle, in order to clean chemical toilets of the company's customers.
The company offers a permanent job with an open-ended contract and satisfactory wages.
Interested parties are requested to send a short CV, preferably with a photo, to the following address: hr@toitoihellas.com",No experience / No degree,Full-time,"Acharnes, Greece",EL,,,,2024-09-09,kariera.gr,168638,jobs_assistant_bilingual_el.csv
,[],['http://data.europa.eu/esco/occupation/c0c1364d-f784-4e76-8d3f-1e998dc6545d'],['Electrical installation'],190,INSTALLER-TECHNICIAN OF SECURITY SYSTEMS,A technical company active in the field of security system installations is seeking a full-time technician and installer assistant.-Driver's license required.-Previous experience and security system installer license will be considered.-Salary commensurate with qualifications.,Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168675,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1', 'http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b']","['http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b', 'http://data.europa.eu/esco/isco/C3313']",['Office administrative and support activities'],191,ASSISTANT ACCOUNTANT,"Registration of invoices and documents
Customer/Supplier Agreements
Bank update
Closing the cash register


Accounting knowledge and knowledge of accounting programs
Excellent PC usage
Relevant experience with the subject at least 2 years
Ability to work in a demanding environment
Excellent communication skills
Competitive salary package depending on qualifications

EMPLOYEES ARE TRANSFERRED FROM AND TO THE SUBURBS OF MAGOULAS TO THE COMPANY'S OFFICES",Mid-level,Full-time,"Mandra, Greece",EL,,,,2024-09-09,kariera.gr,168683,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c', 'http://data.europa.eu/esco/skill/85e77619-6723-48cd-9654-2bcbe71054f9', 'http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c']","['http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b', 'http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6', 'http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42']","['Office administrative and support activities', 'Accounting, bookkeeping and auditing activities; tax consultancy']",192,ASSISTANT ACCOUNTANT,"Responsibilities:

Entry of accounting entries Purchases Expenses, payments.
Registration of Documents for Receiving Services from the EU and third countries.
Registration of Intra-Community Acquisitions and Imports of Third Countries.
Registration of Bank transactions (receipts Payments).
Residual Bank Agreement.
Agreement of remaining Suppliers.
Support daily accounting operations.

Necessary Qualifications

University or TEI Degree in Economics
Experience 4 to 6 years
Excellent knowledge of chart of accounts, KFAS
Familiarity with the management of financial application software ERP systems
Excellent computer skills, MS Office applications
Good command of English",Mid-level,Full-time,"Piraeus, Greece",EL,,,,2024-09-09,kariera.gr,168679,jobs_assistant_bilingual_el.csv
,[],"['http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c', 'http://data.europa.eu/esco/isco/C941']",['Restaurants and mobile food service activities'],254,COOK - ASSISTANT COOK,COOK & ASSISTANT COOK (2 jobs) wanted by a well-known restaurant in the northern suburbs to create menus and prepare themed dishes for adults and children. Permanent work in a pleasant and creative environment.,Mid-level,Full-time / Part-time,"Vrilissia, Greece",EL,,,,2024-09-09,kariera.gr,168613,jobs_assistant_bilingual_el.csv
,['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c'],['http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471'],"['Restaurant activities', 'Beverage serving activities']",278,Assistant Waiter for Domes Zeen Chania.,"The Domes Resorts hotel group, one of the fastest growing hotel groups in the Mediterranean, is hiring Waiters B for the new 5* hotel Domes Zeen Chania, a Luxury Collection Resort in Chania, Crete for the 2024 season. A very good knowledge of English and optionally a second foreign language is necessary. Previous experience in à la carte restaurants or in 5* luxury hotel restaurants is desirable. Excellent knowledge of service techniques. Courtesy, pleasant and friendly personality. Spirit of teamwork and cooperation. service and customer satisfaction BenefitsIn the context of the above position, our company offers: Prospects and opportunities for professional development Excellent working environment Food, accommodation for non-residents in the area Salary package commensurate with qualifications Domes Resorts is an equal opportunity employer, all applications will be treated in strict confidentiality. Only suitable candidates will be contacted.",Entry / Junior,Full-time / Part-time,"Chania, Greece",EL,,,,2024-09-08,kariera.gr,168590,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0', 'http://data.europa.eu/esco/skill/15725b82-9608-4579-abdf-adf91982dad9', 'http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9', 'http://data.europa.eu/esco/skill/3938da70-dd7a-4092-b039-10c2218867fd', 'http://data.europa.eu/esco/skill/394028bf-8dd1-4910-ad46-bc9e8e6e5b6d', 'http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5', 'http://data.europa.eu/esco/skill/59a317ae-8b75-4ee3-9942-cceb10b39d4a', 'http://data.europa.eu/esco/skill/6a66039e-0580-473b-a605-eedfdab85a2d', 'http://data.europa.eu/esco/skill/707ff33d-d130-4e61-8a2a-6e8b023be9fc', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/7dcb927b-9a77-4e93-b33c-d6ea28a45fde', 'http://data.europa.eu/esco/skill/7f7756fc-d89d-41d5-93ef-85991603f4ad', 'http://data.europa.eu/esco/skill/a13c386f-9953-46be-aa5a-cfcf7cd4574d', 'http://data.europa.eu/esco/skill/a9dc9e40-14a6-4899-93ec-29d5c79c2ebd', 'http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869', 'http://data.europa.eu/esco/skill/ca49f512-4434-49c1-8f49-9a078b60d2fe', 'http://data.europa.eu/esco/skill/e15b02ed-0264-4d44-9fa3-e29d6b52414a', 'http://data.europa.eu/esco/skill/e4a32aa6-6042-4073-b46b-38362522198b']","['http://data.europa.eu/esco/occupation/1cd93859-d796-4559-90c4-4b4597cd6e54', 'http://data.europa.eu/esco/occupation/64e909ad-1bd0-493c-a8dc-1afbed0c9c2f', 'http://data.europa.eu/esco/occupation/72913ee1-1696-4d74-b26f-681d17887c58', 'http://data.europa.eu/esco/occupation/853698f5-0f1e-42ae-9301-e5411a26dae2', 'http://data.europa.eu/esco/occupation/88721b6c-d2ce-41c6-8878-73c0d3aacf39', 'http://data.europa.eu/esco/occupation/91f93dc4-1b71-4053-b6fb-c579ec19303a', 'http://data.europa.eu/esco/occupation/a1273779-d2d4-4708-a406-62f7cdd26aab', 'http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0', 'http://data.europa.eu/esco/occupation/b560456a-bc4d-41a9-94c8-bf8636147246', 'http://data.europa.eu/esco/occupation/d4ccb6d4-ea97-47e5-a319-b72cffbf0631', 'http://data.europa.eu/esco/occupation/f83f19ca-b816-484a-b8be-92b7785121ea', 'http://data.europa.eu/esco/isco/C3253']","['Fire service activities', 'Patient transportation by ambulance', 'Hospital activities', 'Vocational secondary education', 'Tertiary education', 'Regulation of and contribution to more efficient operation of businesses', 'Remediation activities and other waste management service activities', 'Engineering activities and related technical consultancy', 'Technical testing and analysis', 'Activities of head offices', 'Other education n.e.c.', 'MINING AND QUARRYING']",280,Βοηθός-Τεχνικός Αντιμετώπισης Έκτακτης Ανάγκης,"Hellas Gold Single Member S.A. is a gold, silver, lead and zinc mining company headquartered in Athens, Greece. Since 2004, Hellas Gold operates the Kassandra Mines at N.E. Chalkidiki, under the strictest EU safety and environmental standards and regulations. The Kassandra Mines consist of the operating mine at Olympias the state-of-the-art Kokkinolakkas Tailings Managements Facility and the Skouries project. Evolving a mining history of 25 centuries, Hellas Gold invests in the development of sustainable mining in the region, contributing to the local economic growth and prosperity with investments of more than $1 billion, the employment of 1,600 people, the active support to the local suppliers, and important investments to local community initiatives and projects. Since 2012, Hellas Gold operates as a subsidiary of the Canadian-based Eldorado Gold Corporation, which has over 25 years of experience in exploration, construction and operation of mines around the world. We live our values in pursuit of our purpose: to find a better way to do things. We aim to break new ground in all that we do. We do this by creating a positive impact today, and for future generations, through our commitment to operating safely, sustainably, and profitably. The company offers the opportunity to those who wish to express interest in the position of “Emergency Response Assistant”, for its premises in Olympias/Stratoni/Skouries. The position will be reported to the Emergency Preparedness & Response Supervisor of the Kassandra Health & Safety department. Responsibilities: Respond to emergencies (fires, explosions, collapses, spills) and implement safety protocols. Provide first aid and coordinate with medical services for advanced care. Identify and assess hazards in the mine environment - take proactive measures to minimize risks. Maintain communication with supervisors and team members during emergencies. Ensure emergency response mobile & fixed equipment is maintained, ready and regularly inspected. Participate in training drills and guide Mine Rescue Members on safety practices. Keep accurate records of incidents, prepare reports and support post-incident analysis. Lead the Mine Rescue team during operations, fostering a culture of safety and teamwork. Provide regular updates to supervisors on response activities and resource needs. Train employees on the use of Refuge Chambers and Self-Escape units. Manage procurement and ensure operational readiness of Mine Rescue Stations and equipment. Collaborate with safety engineers and participate in health and safety meetings as needed. Undertaking tasks assigned by the supervisor related to the role's functions. Train Emergency Response, Mine Rescue Teams and Fire Safety Teams.  Requirements: 1-3 years of experience in emergency response within the mining sector.  Strong knowledge of safety, emergency response principles, and procedures. Proficiency in operating emergency equipment. Medical first aid certification (Basic and Advanced) and trauma life support. Experience in risk management. Excellent oral and written communication skills in Greek and English. Proven ability to lead teams, solve problems, and work under pressure. Valid driver's license (categories B) and relevant educational qualifications.  Our company offers a competitive remuneration package that includes an attractive combination of basic salary and benefits, as well as opportunities for development in a challenging work environment. Inclusion and Diversity Hellas Gold is an equal opportunities employer. We are committed to promoting an inclusive and diverse workplace where we value and respect every colleague for who they are and provide equality of opportunity so that everyone can fulfill their potential. If you are looking for a global and dynamic environment, please send us your CV in English.",Mid-level,Full-time,"Stageira-Akanthos, Greece",EL,,,,2024-09-08,kariera.gr,168588,jobs_assistant_bilingual_el.csv
,[],[],[],281,Baker - baker's assistant wanted,"Stable work environment, with all legal wages and insurance. Stable production and potential developments. Work from Monday to Friday, hours 06:00 - 14:00.",Mid-level,Full-time,"Kropia, Greece",EL,,,,2024-09-08,kariera.gr,168587,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/1b957e3d-0017-42b0-9bfe-49a1cdd31de7', 'http://data.europa.eu/esco/skill/de2f0ce8-f8d6-48c5-a213-4d065251cecf', 'http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939']","['http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6', 'http://data.europa.eu/esco/occupation/e246eca2-2cec-45b4-ae76-aa1f37d07bc5']","['Accounting, bookkeeping and auditing activities; tax consultancy', 'Other reservation service and related activities']",293,RESERVATION ASSISTANT,"The Private Best Travel Company based in Glyfada and working in the transportation of persons, is looking for an employee for the reservation department with full time, necessary experience in the tourism industry, excellent knowledge of English and computers.
Necessary qualifications:

Management of reservations, email, telephone communication
Excellent knowledge of English and PC.
Excellent oral and written communication skills
Ability to work effectively as a team member
Connection with the sales and reservations department
Liaison with the accounting department

 
Amenities:

Competitive wages
12 months of employment
Excellent working environment",Mid-level,Full-time,"Glyfada, Greece",EL,,,,2024-09-08,kariera.gr,168576,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075', 'http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0', 'http://data.europa.eu/esco/skill/2a0efd9a-4a60-4edc-8561-f2754d24eeb8', 'http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137', 'http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207', 'http://data.europa.eu/esco/skill/7f7756fc-d89d-41d5-93ef-85991603f4ad', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c', 'http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/b895bd42-0009-4815-a150-eb9eb5caec21', 'http://data.europa.eu/esco/skill/c2617b44-886a-485e-8393-bc0fc6339539', 'http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41', 'http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0', 'http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68', 'http://data.europa.eu/esco/skill/eade4171-3d57-4fb2-9518-44d5a1da4ff5', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/f7e7ccb6-fadc-4c35-935d-e1040be40dfe', 'http://data.europa.eu/esco/skill/fcd7dbd4-095d-448d-b605-89e8ac6a3d92', 'http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec']","['http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44', 'http://data.europa.eu/esco/occupation/38d9c76b-1a7b-4d65-879b-733ae7e9364e', 'http://data.europa.eu/esco/occupation/3b43dafb-8c6b-4906-9fe5-bc218aacad55', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c', 'http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2', 'http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0', 'http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C2411', 'http://data.europa.eu/esco/isco/C2412', 'http://data.europa.eu/esco/isco/C3313']","['Activities of advertising agencies', 'Other monetary intermediation', 'Other activities auxiliary to financial services, except insurance and pension funding', 'Sports and recreation education', 'Accommodation', 'Activities of head offices', 'Research and experimental development on social sciences and humanities', 'All other professional, scientific and technical activities n.e.c.', 'Business and other management consultancy activities', 'Public relations and communication activities']",314,Financial Accounting Advisory Assistant Manager/Manager,"At EY, you'll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we're counting on your unique voice and perspective to help EY become even better, too.Join our continuously growing team, which employs over 2.500 professionals in Greece, and is listed in Greece's Top Employers, Great Place to Work and Best Workplaces for Women for 2024! Experience great flexibility, under our hybrid operating model across our offices in Athens, Patras, and Thessaloniki, while benefiting from personalized learning and career development opportunities. We prioritize diversity, equity, and inclusion, fostering an environment where everyone's unique perspectives are valued, that supports you in building an exceptional experience for yourself, and a better working world for all. The OpportunityWe are currently seeking talented individuals with a grounding in accounting and financial reporting who are able to use their professional skills and experience to deliver on large service engagements. You will have interaction with company management teams and other advisers. In your role, you will be contributing to building trust in financial, management, investor reporting and capital markets. In return, our growing Financial Accounting Advisory Services (FAAS) team in Greece and Central, Eastern and Southeastern Europe & Central Asia (CESA) will provide access to growing, global and innovative projects and transactions to support a sound and exciting development and growth journey.Why Financial Accounting Advisory Services (FAAS) be right for you?Our clients look to us as trusted consultants, and as a FAAS professional, you will be at the heart of that goal. Our roles vary but we come together to achieve similar objectives for our clients; everyone has a different part to play. Whether you have experience in a specific industry, advising clients or teams on complex IFRS matters, advising clients through IPOs and debt raising or regulatory reporting, there is a role for you. Our team is very diverse representing a wide range of backgrounds and experiences. You will be provided with the opportunity to further develop your expertise, differentiate yourself from your peers and be part of a dynamic and growing part of the firm.You will be building strong relationships with clients, working collaboratively to achieve their goals and demonstrate your ability to deliver high quality service. You will have a great opportunity to expand your technical accounting and financial reporting knowledge and skills, act as the IFRS specialist working collaboratively with audit and advisory teams on different projects across industries, including on complex business transactions.You will be part of a team where you will receive exposure to some of EY's most diverse and exciting clients and be given all the skills, knowledge and opportunities to progress and become ready to build a better working world for our people, our clients and our communities. Your work will be recognized and rewarded, and a solid career will lie ahead of you. Sounds interesting?Skills and attributes for success 

	Fostering an efficient, innovative and team-oriented working environment by maintaining cooperative relationships that lead to open communications and sharing of information
	Collaborating effectively with Managers and/or Senior Managers at the planning, execution and wrap-up stages of engagements 
	Building strong relationships with clients working collaboratively to achieve their goals
	Demonstrating positive attitude, professionalism, teamwork competences, project management and leadership skills and high level of self-motivation and desire to exceed expectations
	Illustrating critical thinking and ability to work in a multi-tasking and results-oriented working environment with keen attention to high quality and accuracy along with strong appetite for development
	Embracing technology to continually enhance service delivery

To qualify for the role, you must have 

	Excellent academic background including a bachelor and/or master's degree in accounting, Finance, Economics, Business Administration or other appropriate academic major
	Professional accountancy qualification or working towards gaining one (ACCA, ACA, CFA, CPA, SOEL)
	At least 5 years of relevant working experience in an IFRS department at a big accounting or consulting firm or large corporate
	Very good IFRS knowledge, strong technical skills, ability to research IFRS technical issues and risk management ability
	Experience in performing IFRS technical analysis, making IFRS calculations and accounting entries for IFRS adjustments and preparing IFRS financial statements
	Professional acumen in analyzing complex accounting issues and providing solutions in accordance with the relevant accounting standards and legislation
	Strong analytical skills that enable you to think out of the box and come with good ideas to support our clients address their complex accounting questions.
	Substantial knowledge of Microsoft Office and Outlook applications
	Excellent written and verbal communication skills in Greek and English and the ability to explain specialized concepts to non-technical audiences.
	Results-oriented approach with keen attention to high quality and accuracy
	Ability to work under tight timelines.
	Flexibility to travel in accordance with client and other job requirements both locally and internationally

Working location: Athens (hybrid)What we offer

	Competitive remuneration package: You'll be rewarded for your individual and team performance. Depending on your experience, our comprehensive rewards package includes benefits that suit your needs including cutting-edge technological equipment, ticket restaurant vouchers, a private health insurance scheme, life insurance, income protection and an exclusive EY benefits club that provides a wide range of discounts, offers and promotions. 
	Flexible working arrangements: We operate under a hybrid working model, which is defined based on both your own preferences and team's needs, and we enjoy our summers with short Fridays.
	Personalized learning experience and career development: We provide free and unlimited access to educational platforms and EY Badges, support certifications, and provide coaching and feedback, as a part of our Leadership & Development process, all of which can lead to a meaningful impact and success as defined by you.
	Transformative leadership: We'll give you the insights, coaching and confidence to be the leader the world needs.
	Diverse and inclusive culture: You'll be embraced for who you are and empowered to use your voice to help others find theirs.
	International Experience: Become part of international projects and work along multicultural teams, through our global network.
	Above all, you will be working in one of the most recognized employers in Greece, as we have been awarded the Top Employers, Great Place to Work and Best Workplaces for Women awards for 2024.

If you can demonstrate that you meet the criteria above, please contact us as soon as possible.The exceptional EY experience. It's yours to build.Apply Now.EY | Building a better working world EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets. Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate. Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.#betterworkingworld #LI-Hybrid",,Full-time,"Marousi, Greece",EL,,,,2024-09-07,kariera.gr,151142,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2', 'http://data.europa.eu/esco/skill/9ef1b136-d2d8-4e1e-a140-834933726a64', 'http://data.europa.eu/esco/skill/cf50be40-9a1a-4232-9f8d-b36e923e0527', 'http://data.europa.eu/esco/skill/fb39389b-07d5-439f-948b-6c6e58c0384f']","['http://data.europa.eu/esco/occupation/2f5de1ab-eddf-4715-8193-e994912c22ea', 'http://data.europa.eu/esco/occupation/f3eb330a-03b5-4537-ac0e-bcee5c67bcff', 'http://data.europa.eu/esco/isco/C3257']","['Warehousing and storage', 'Service activities incidental to air transportation']",337,Assistant Operator - Operator Clark,"The company Attiki Kinisi Logistics, in the area of ​​Oinophyta, wishes to hire a licensed Operator or Assistant Operator of a lift with 3 years of experience in a corresponding machine (electric side loading), knowledge of computer system wms, rf operation with the following indicative tasks:

Proper management of incoming cargo at the Logistics Center
Proper aggregation of orders in accordance with the guidance of the relevant bulletins
Correct completion and monitoring of the necessary accompanying documents

Necessary Qualifications

High school diploma
Ability to work in shifts

The employee reports to the Warehouse Manager of the Logistics Center.
 

Handling Barcodescanners
Keeping the work area and machinery clean and in excellent condition
Strict adherence to the safety and hygiene regulations of the area",Mid-level,Full-time,"Oinofyta, Greece",EL,,,,2024-09-07,kariera.gr,168534,jobs_assistant_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/1b957e3d-0017-42b0-9bfe-49a1cdd31de7', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/71152876-b629-4a99-b9ea-0f25a0d07e4e', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/a79d9e58-36be-4e67-a4db-ea6c8ff445fc', 'http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6', 'http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5', 'http://data.europa.eu/esco/isco/C3', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C3323']","['Activities of head offices', 'Non-specialised retail sale', 'Accounting, bookkeeping and auditing activities; tax consultancy', 'MANUFACTURING']",345,ASSISTANT ACCOUNTANT,"MEET THE EXPERTS!!!
 KLEVA Pharmaceuticals S.A. is a privately owned pharmaceutical company that has been in operation in Greece since 1974. Kleva develops and manufactures generic products and focus on Pharmaceuticals (Rx & OTC).
KLEVA has a fully integrated company with R&D, RA, Production, QC, QA, Marketing and Sales departments.
Our factory in Athens, Greece, is equipped with the latest technology machinery and has the manufacturing potential for a wide range of pharmaceutical forms.
Our mission is to offer a flexible, fully scalable, qualitative, and cost-effective product development in a wide range of dosage forms. We register and export our products to a number of regulated and non-regulated markets around the world.
To realize our ambitious goals, KLEVA needs people who are innovators, believe in the values of respect and cooperation and are ready to commit to a company that wants to penetrate new markets, leverage international business development opportunities, and enter contract manufacturing deals. 
How you will support our mission:
We are looking for an Assistant Accountant.
The ideal candidate will have a solid background in accounting/finance, as well as strong analytical and technical skills.
CANDIDATE PROFILE

A Bachelor degree in Accounting/Finance with a minimum of 5 years of accounting-related experience
Full proficiency in MS Office 
Proficient in English and Greek with good oral and written communication skills
Organizational & time management skills
Strong ability to work both independently and as part of a team
Strong work ethic, detail-oriented and committed to excellence
Confidentiality and integrity

 With DEI in mind!!! 
Diversity, equity, and inclusion are a priority for us! KLEVA ensures a safe and balanced working environment, based on respect by providing an equal number of opportunities to every employee who meets the necessary requirements.
Here @KLEVA, we care for your privacy. The security of your data is one of our greatest concerns. All information is strictly confidential and in accordance with GDPR rules.
 
                       Meet our hiring team…and apply now!!!!",Mid-level,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-07,kariera.gr,168030,jobs_assistant_bilingual_el.csv
