id,title,detected_microskills,detected_categories,detected_evidence,detected_microskills_count
231,PURCHASING ADMINISTRATOR,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 6, ""keywords"": [""attention detail"", ""data accuracy""], ""semantic_groups"": [""attention + detail"", ""data + accuracy""]}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""update + record""]}}",3
237,Administrative Assistant,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση χρόνου"", ""Σύνταξη επαγγελματικών email"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""verbal written communication"", ""written communication""], ""semantic_groups"": [""communication + client"", ""communication + stakeholder""]}, ""Διαχείριση χρόνου"": {""score"": 5, ""keywords"": [""fast pac environment"", ""prioritize task""], ""semantic_groups"": [""prioritize + task""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",4
245,Internship in Accounting (only undergraduate students),"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""update + record""]}}",1
250,Database Administrator (Hybrid),"[""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""tight deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""record + keep"", ""maintain + database""]}}",2
260,Public Tenders Officer,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",1
271,Database Administrator (DBA),"[""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",2
326,CRM TEAM LEADER,"[""Σαφής και συνοπτική επικοινωνία"", ""Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας"", ""Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών"", ""Παρακολούθηση και έλεγχος τεχνικών ζητημάτων"", ""Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα"", ""Παρακολούθηση και έλεγχος αναφορών προόδου""]","[""Επαγγελματική Επικοινωνία"", ""Εξυπηρέτηση Πελατών"", ""Τεχνικές και Ψηφιακές Δεξιότητες"", ""Διαχείριση Δεδομένων και Πληροφορίας"", ""Διαχείριση Έργων""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας"": {""score"": 2, ""keywords"": [""monitor control""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών"": {""score"": 2, ""keywords"": [""monitor control""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος τεχνικών ζητημάτων"": {""score"": 2, ""keywords"": [""monitor control""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα"": {""score"": 2, ""keywords"": [""monitor control""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος αναφορών προόδου"": {""score"": 2, ""keywords"": [""monitor control""], ""semantic_groups"": []}}",6
333,Administration Secretariat,"[""Οργάνωση ψηφιακού χώρου εργασίας"", ""Διαχείριση χρόνου""]","[""Διαχείριση Δεδομένων και Πληροφορίας"", ""Προσωπική Διαχείριση""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""meet + deadlin""]}}",2
376,"Administrative Assistant, CDS Greece","[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email"", ""Ανάλυση και αξιολόγηση ημερολογίων εργασίας"", ""Οργάνωση και διαχείριση ημερολογίων εργασίας"", ""Παρακολούθηση και έλεγχος ημερολογίων εργασίας"", ""Τεκμηρίωση και βελτίωση ημερολογίων εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""verbal written communication"", ""written communication""], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Ανάλυση και αξιολόγηση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Οργάνωση και διαχείριση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Τεκμηρίωση και βελτίωση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}}",6
392,Internship in HR Department,[],[],{},0
413,LAW FIRM ADMINISTRATION SECRETARIAT,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": []}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""document + management"", ""record + keep""]}}",3
435,"Front Office Agent - Monasty, Autograph Collection","[""Διαχείριση προσοχής και συγκέντρωσης"", ""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση"", ""Επιβεβαίωση οδηγιών και απαιτήσεων""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}, ""Επιβεβαίωση οδηγιών και απαιτήσεων"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""verify + detail""]}}",4
458,Library Manager,[],[],{},0
535,Reservations Manager - Dubai,"[""Διαχείριση προσοχής και συγκέντρωσης""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",1
549,Senior Civil Engineer,"[""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""record + keep"", ""maintain + database""]}}",2
557,Logistics Assistant,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""record + keep""]}}",1
586,Administrative Assistant - Shipping Company,[],[],{},0
616,REAL ESTATE AGENT - ΣΥΜΒΟΥΛΟΣ ΑΚΙΝΗΤΩΝ,[],[],{},0
618,Maintenance Engineer,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",1
635,Front Office Receptionist,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + customer""]}}",1
756,ERP Administrator - ERP Software Support,[],[],{},0
859,Junior IT Administrator,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",2
915,eCommerce Administrator - Marketing Assistant,"[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""written communication""], ""semantic_groups"": [""communication + customer""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}}",2
1021,TRANSPORT ADMINISTRATOR,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",3
1128,Junior System Administrator,[],[],{},0
1140,Senior Database Administrator,"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + stakeholder""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",2
1142,IT Specialist,[],[],{},0
1188,SOC–Security Incidents Administrator,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}}",1
1464,FTTH Back Office Administrator,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}}",1
1641,Operations Administrator,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",4
1857,Senior Salesforce Consultant,"[""Σαφής και συνοπτική επικοινωνία"", ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}, ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 3, ""keywords"": [""workflow automation""], ""semantic_groups"": [""automation + workflow""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",3
2075,E-Shop Picker/Packer,[],[],{},0
2086,HEAD OFFICE ADMINISTRATOR,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}}",2
2101,"Senior Associate, Web & Social Channel Management","[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Σύνταξη επαγγελματικών email"", ""Ενεργητική ακρόαση"", ""Οργάνωση ψηφιακού χώρου εργασίας"", ""Διαχείριση χρόνου""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 8, ""keywords"": [""verbal written communication"", ""written communication"", ""strong communication""], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""data + entry""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}}",6
2128,Clinical Trials Administrator,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",2
2222,Competitions Administrator,[],[],{},0
2300,Internal Sales Administrator,"[""Οργάνωση ψηφιακού χώρου εργασίας"", ""Σαφής και συνοπτική επικοινωνία""]","[""Διαχείριση Δεδομένων και Πληροφορίας"", ""Επαγγελματική Επικοινωνία""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 3, ""keywords"": [""data entry""], ""semantic_groups"": [""data + entry""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer""]}}",2
2397,IT Systems Administrator / DevOPS (IT2024B),"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Διαχείριση χρόνου"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",4
2476,Junior Supply Chain Administrator,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + customer""]}}",1
2499,IT Systems Administrator - Technician,"[""Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών""]","[""Διοικητική Υποστήριξη""]","{""Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών"": {""score"": 2, ""keywords"": [""monitor user""], ""semantic_groups"": []}}",1
2523,CRM & Loyalty Administrator,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 6, ""keywords"": [""prioritize task"", ""meet deadlin""], ""semantic_groups"": [""meet + deadlin"", ""prioritize + task""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + customer""]}}",2
2605,BMC Consultant,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",1
2623,Customer Service Administrator - INSCREEN S.A,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}}",1
2815,E-commerce specialist - Bόλος - On site,[],[],{},0
2871,Technical Support Administrator,"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας"", ""Διαχείριση χρόνου""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}}",3
3058,Sales Operations Administrator,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}}",1
66,Payments Risk Operations Specialist,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 5, ""keywords"": [""fast pac environment"", ""tight deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",3
119,PRODUCT MANAGER DATA ANALYST,"[""Αποτελεσματική αναζήτηση στο διαδίκτυο""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Αποτελεσματική αναζήτηση στο διαδίκτυο"": {""score"": 2, ""keywords"": [""market research""], ""semantic_groups"": []}}",1
234,Junior Revenue Analyst - Oia Santorini,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Ενεργητική ακρόαση""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 5, ""keywords"": [""attention detail"", ""detail orient""], ""semantic_groups"": [""attention + detail""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
259,Financial Project Analyst,[],[],{},0
285,Senior Business Analyst,"[""Διαχείριση χρόνου"", ""Ενεργητική ακρόαση""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 4, ""keywords"": [""manage workload""], ""semantic_groups"": [""manage + workload"", ""meet + deadlin""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
360,"Central Monitor Data Analyst, Senior Associate- Risk Based Monitoring","[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email"", ""Επιβεβαίωση οδηγιών και απαιτήσεων""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 7, ""keywords"": [""verbal written communication"", ""communicate effectively"", ""written communication""], ""semantic_groups"": [""communication + stakeholder""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Επιβεβαίωση οδηγιών και απαιτήσεων"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""follow + instruction""]}}",3
