id,title,cleaned_text,processed_text,detected_language
51855,Business Analyst,business analyst cross pharmaceuticals is one of the fastest growing companies in the pharmaceutical otc and medical devices sector offering therapeutic solutions with innovative formulations a key factor in cross pharmaceuticals esteemed success is our successful sales team to support our team we are looking for a business analyst to join our dynamic organization the ideal candidate will play a crucial role in driving strategic decisions and optimizing sales performance through data driven insights and analysis key responsibilities 1 database setup and maintenance design and implement a robust database to manage and store the company s data effectively with the collaboration of our external partners ensure data integrity security and accessibility within the database regularly update and maintain the database to accommodate new data and requirements 2 backup management develop and implement a backup strategy to onedrive ensure regular and consistent backups are taken to prevent data loss monitor and manage the backup process to resolve any issues promptly 3 data model development develop a comprehensive data model to facilitate combinatorial analysis of iqvia and crm data ensure the data model supports complex data queries and analysis for strategic decision making collaborate with sales department stakeholders to understand data requirements and incorporate them into the model 4 data integration and analysis integrate iqvia data with crm and real sales data to create a unified view for analysis perform regular data analysis to derive insights and support business decisions ensure the data models are continuously updated with the latest data and analytics requirements 5 data model maintenance regularly update and maintain iqvia and real sales data models ensure data models are accurate up to date and reflect the latest business metrics and kpis qualifications bachelor s degree in business administration computer science information systems or a related field proven experience as a business analyst or in a similar role database management systems e g sql nosql data modeling tools and techniques excellent knowledge of ms office excel formulas power pivot power query macros charts etc cloud storage solutions e g onedrive crm systems familiarity with iqvia data and crm systems is a plus company offers competitive salary excellent working enviroment with continuous training group private insurance,business analyst cross pharmaceutical one fastest grow company pharmaceutical otc medical devic sector offer therapeutic solution innovative formulation key factor cross pharmaceutical esteem success successful sal team support team look business analyst join dynamic organization ideal candidate play crucial driv strategic decision optimiz sal performance data driven insight analysi key responsibility database setup maintenance design implement robust database manage store data effectively collaboration external partner ensure data integrity security accessibility within database regularly update maintain database accommodate new data requirement backup management develop implement backup strategy onedrive ensure regular consistent backup taken prevent data loss monitor manage backup process resolve issu promptly data model development develop comprehensive data model facilitate combinatorial analysi iqvia crm data ensure data model support complex data query analysi strategic decision mak collaborate sal department stakeholder understand data requirement incorporate them model data integration analysi integrate iqvia data crm real sal data create unifi view analysi perform regular data analysi derive insight support business decision ensure data model continuously updat latest data analytic requirement data model maintenance regularly update maintain iqvia real sal data model ensure data model accurate date reflect latest business metric kpis qualification bachelor degree business administration computer science information system relat field proven experience business analyst similar database management system sql nosql data model tool techniqu excellent knowledge ms office excel formula power pivot power query macro chart cloud storage solution onedrive crm system familiarity iqvia data crm system plus offer competitive salary excellent work enviroment continuou train group private insurance,english
51870,Natural Gas Business Operations Analyst,natural gas business operations analyst the position holder actively participates in the analysis and support of natural gas sales as well as in the development of new business strategies in the market for liquefied natural gas biofuels and hydrogen main responsibilities participates in the analysis and development of new natural gas projects natural gas lng biomethane hydrogen biofuels in collaboration with other departments of the company as well as with specialized consultants supports the natural gas sales team and b2b customers through their portfolio analysis creates and analyzes b2b and b2c natural gas customer portfolio reports monitors and evaluates the invoicing and issuing of invoices for natural gas customers records customer agreements processes and policies in the sap system and crm it cooperates with natural gas transmission and distribution network management bodies prepares business plans business development reports and technical evaluations related to new business developments and projects coordinates the team in order to deliver specific projects and natural gas products prepares comprehensive qualitative and quantitative evaluation reports of the department s actions position requirements degree in engineering or natural sciences or finance master s degree holder or mba desirable experience in the energy or natural gas market 5 plus years of experience very good experience in creating statistics and data analysis excellent knowledge of microsoft excel vba ability to plan prioritize and support multiple tasks excellent knowledge of english in written and spoken language excellent problem solving and analytical skills teamwork cooperation,natural gas business operation analyst holder actively participat analysi support natural gas sal well development new business strategy market liquefi natural gas biofuel hydrogen main responsibility participat analysi development new natural gas project natural gas lng biomethane hydrogen biofuel collaboration department well specializ consultant support natural gas sal team b2b customer portfolio analysi creat analyz b2b b2c natural gas customer portfolio report monitor evaluat invoic issu invoic natural gas customer record customer agreement process policy sap system crm cooperat natural gas transmission distribution network management body prepar business plan business development report technical evaluation relat new business development project coordinat team order deliver specific project natural gas product prepar comprehensive qualitative quantitative evaluation report department action requirement degree engineer natural scienc finance master degree holder mba desirable experience energy natural gas market plus year experience good experience creat statistic data analysi excellent knowledge microsoft excel vba ability plan prioritize support multiple task excellent knowledge english written spoken language excellent problem solv analytical skill teamwork cooperation,english
51874,Junior Data Analyst,junior data analyst landis plus gyr is a leading global provider of integrated energy management solutions we measure and analyze energy utilization to generate empowering analytics for smart grid and infrastructure management enabling utilities and consumers to reduce energy consumption our innovative and proven portfolio of software services and intelligent sensor technology is a key driver to decarbonize the grid and helped to avoid around 9 million tons of co2 in fy 2023 with sales of usd 2 0 billion in fy 2023 landis plus gyr employs around 6 900 talented people across five continents for more than a century we ve been pioneers in energy innovation and we continue to lead the way toward a more sustainable and efficient energy landscape join us at landis plus gyr where we manage energy better overall objectiveto provide an accurate and timely administration support service to the esg due diligence team through supplier relationship management document collection and storage database management key performance indicatorsquality of work produced i e accuracy timely completion of work deadlines number of completed supplier folders with all components correctly documented and stored key areas of responsibility supplier due diligence maintain ims records centre in relation to supplier due diligence documents review scoc uploads in preparation for weekly sdd meeting note uploads can be made by anyone e g local procurement coordinate and support the proceedings of the esg supply chain due diligence committee meetings e g draw up agenda prepare pre reads and decision making process e g take minutes of meetings keep track of actions review and upload any email correspondence requests into records centre undertake chatgpt review where supplier has supplied their own code of conduct i e not just signed ours review chatgpt summary and include recommended actions in summary table in readiness for weekly sdd mtg where chatgpt review highlights weaknesses especially in relation to information security review supplier web pages where these exist to locate any published documents such as infosec policy etc hold meeting to discuss all newly submitted codes and chatgpt reviews present new codes reviews recommendations where further information required prepare email for procurement representative to return to supplier to support the contractor administration process projects and tasks as required developing and maintaining esg supplier due diligence related policies and procedures including the supplier code of conduct and the esg supplier due diligence procedure support the project team in defining the criteria for evaluating suppliers esg performance reviewing and approving the criteria for evaluating suppliers esg performance providing guidance on integrating esg considerations into supplier selection and contract management processes collaborating with relevant internal stakeholders including procurement supplier development and supplier quality teams to align esg initiatives with overall business objectives other tasks to support the esg due diligence team for other ad hoc projects as needed other administration tasks and responsibilities as directed required skills proven experience for accuracy in data management proficient use of all microsoft packages knowledge of sharepoint a plus interest in ai for data analytics strong attention to detail and analytical skills ability to use own initiative and use discretion flexible approach to tasks set effective time management skills excellent communication skills written and verbal interest in sustainability esg legislation appreciation of working in a confidential environment administration skills preferably gained within a data management customer relationship management environment ability to adapt to different working environments and cultures comfortable with business english written and spoken we re committed to shaping a better future for everyone energizeyourcareer and join us on our journey towards a greener tomorrow,junior data analyst landi plus gyr lead global provider integrat energy management solution measure analyze energy utilization generate empower analytic smart grid infrastructure management enabl utility consumer reduce energy consumption innovative proven portfolio software servic intelligent sensor technology key driver decarbonize grid help avoid around million tons co2 fy 2023 sal usd billion fy 2023 landi plus gyr employ around 900 talent person across five continent century ve pioneer energy innovation continue lead way toward sustainable efficient energy landscape join us landi plus gyr manage energy better overall objectiveto provide accurate timely administration support service esg due diligence team supplier relationship management document collection storage database management key performance indicatorsquality work produc accuracy timely completion work deadlin number complet supplier folder component correctly document stor key area responsibility supplier due diligence maintain ims record centre relation supplier due diligence document review scoc upload preparation weekly sdd meet note upload made anyone local procurement coordinate support proceeding esg supply chain due diligence committee meeting draw agenda prepare pre read decision mak process take minut meeting keep track action review upload email correspondence request record centre undertake chatgpt review supplier suppli code conduct sign ours review chatgpt summary include recommend action summary table readiness weekly sdd mtg chatgpt review highlight weakness especially relation information security review supplier web pag exist locate publish document infosec policy hold meet discuss newly submit cod chatgpt review present new cod review recommendation information requir prepare email procurement representative return supplier support contractor administration process project task requir develop maintain esg supplier due diligence relat policy procedur includ supplier code conduct esg supplier due diligence procedure support project team defin criteria evaluat supplier esg performance review approv criteria evaluat supplier esg performance provid guidance integrat esg consideration supplier selection contract management process collaborat relevant internal stakeholder includ procurement supplier development supplier quality team align esg initiativ overall business objectiv task support esg due diligence team ad hoc project need administration task responsibility direct requir skill proven experience accuracy data management proficient use microsoft packag knowledge sharepoint plus interest ai data analytic strong attention detail analytical skill ability use initiative use discretion flexible approach task set effective time management skill excellent communication skill written verbal interest sustainability esg legislation appreciation work confidential environment administration skill preferably gain within data management customer relationship management environment ability adapt different work environment cultur comfortable business english written spoken re commit shap better future everyone energizeyourcareer join us journey toward greener tomorrow,english
51919,Logistics Analyst,logistics analyst logistics analyst responsibilities this position reports works very closely with the services parts operations manager spm helping him manage day to day operational issues co ordinates and works on escalation daily metrics operational financials issues internal reviews and daily tracker on various activities including ongoing projects supports parts demand in a timely and cost effective manner works with remote teams to process customer orders which include order input resolving order holds and notifying customer of delays provides parts availability order status customer pricing and part number information to internal customers follows the company processes in maintaining inventory integrity as per company expectations reports quality issues concerns to appropriate personnel collaborates with other division subject matter experts to uncover root causes of problems and assists with resolution generates reports captures information and records data using desktop tools work on understanding and evaluating vendors invoices and identify discrepancies if any maintains a comprehensive knowledge of assigned processes and procedures consults and collaborates with team and spm in improving existing processes or establishing new ones to address new or changes to business requirements physical receipt of incoming shipments and preparation outgoing shipments education and experience at least 2 years experience in a similar position in a multinational company tertiary education in logistics it or finance would be a plus skills and attributes team player analytical problem solver target oriented self driven proven fluency in ms office applications excel access etc excellent communication and interpersonal skills,logistic analyst logistic analyst responsibility report work closely servic part operation manager spm help him manage day day operational issu co ordinat work escalation daily metric operational financial issu internal review daily tracker variou activity includ ongo project support part demand timely cost effective manner work remote team process customer order which include order input resolv order hold notify customer delay provid part availability order statu customer pric part number information internal customer follow process maintain inventory integrity expectation report quality issu concern appropriate personnel collaborat division subject matter expert uncover root caus problem assist resolution generat report captur information record data using desktop tool work understand evaluat vendor invoic identify discrepancy maintain comprehensive knowledge assign process procedur consult collaborat team spm improv exist process establish new ones address new chang business requirement physical receipt incom shipment preparation outgo shipment education experience least year experience similar multinational tertiary education logistic finance would plus skill attribut team player analytical problem solver target orient self driven proven fluency ms office application excel access excellent communication interpersonal skill,english
53689,Financial & Business Analyst,financial and business analyst main responsibilities assist in the preparation of financial reports and budgets analyze financial data and present key findings to management support month end and year end closing processes support business performance analysis by providing insights into operational efficiency and profitability collaborate with other departments to ensure accurate financial data and reporting requirements bachelor s degree in finance accounting or related field 1 2 years of experience within financial analysis business controlling or accounting department advanced ms office and data analysis skills attention to detail accuracy and ability to multitask experience using sap and bi tools will be considered as an asset excellent english written and verbal strong communication and interpersonal skills the company offers competitive remuneration package and extra benefits hybrid working model on site and remotely dynamic prestigious and highly distinguished working environment best workplace award in greece for 10 years supportive management among top industries in international market trends multiple learning and career opportunities,financial business analyst main responsibility assist preparation financial report budget analyze financial data present key finding management support month end year end clos process support business performance analysi provid insight operational efficiency profitability collaborate department ensure accurate financial data report requirement bachelor degree finance account relat field year experience within financial analysi business control account department advanc ms office data analysi skill attention detail accuracy ability multitask experience using sap bi tool consider asset excellent english written verbal strong communication interpersonal skill offer competitive remuneration package extra benefit hybrid work model site remotely dynamic prestigiou highly distinguish work environment best workplace award greece 10 year supportive management among top industry international market trend multiple learn career opportunity,english
53812,Data Analyst,data analyst loulis food ingredients holds the 1st position in the greek flour industry and in the production and distribution of bakery and confectionery raw materials with four state of the art production facilities in sorpi keratsini thiva and toshevo bulgaria loulis food ingredients has been identified in the minds of its partners suppliers and customers with the provision of excellent quality products excellent service and value creation for society and nutrition starting in 1782 the company today constantly invests in new technologies and upgrades its production with the aim of protecting the environment and its dynamic contribution to the national economy for our factory in sourpi volos we are looking for a data analyst main tasks production department data collection and processing control and monitor kpis optimization of production processes participation in projects of a technical nature required qualifications university graduate mechanical or electrical engineer 0 3 years in a similar position analytical skills with the ability to organize analyze and transfer information attention to detail very good knowledge of excel knowledge of english completed military service if applicable the company offers full and permanent employment private medical and pharmaceutical benefits package respect for the partner and spirit of cooperation development prospects in a stable company number 1 in its sector,data analyst louli food ingredient hold 1st greek flour industry production distribution bakery confectionery raw material four state art production facility sorpi keratsini thiva toshevo bulgaria louli food ingredient identifi mind partner supplier customer provision excellent quality product excellent service value creation society nutrition start 1782 today constantly invest new technology upgrad production aim protect environment dynamic contribution national economy factory sourpi volo look data analyst main task production department data collection proces control monitor kpis optimization production process participation project technical nature requir qualification university graduate mechanical electrical engineer year similar analytical skill ability organize analyze transfer information attention detail good knowledge excel knowledge english complet military service applicable offer full permanent employment private medical pharmaceutical benefit package respect partner spirit cooperation development prospect stable number sector,english
53817,Vendor Data Master Analyst,vendor data master analyst hellas gold single member s a is a gold silver lead and zinc mining company headquartered in athens greece since 2004 hellas gold operates the kassandra mines at n e chalkidiki under the strictest eu safety and environmental standards and regulations the kassandra mines consist of the operating mine at olympias the state of the art kokkinolakkas tailings managements facility and the skouries project evolving a mining history of 25 centuries hellas gold invests in the development of sustainable mining in the region contributing to the local economic growth and prosperity with investments of more than 1 billion the employment of 1 600 people the active support to the local suppliers and important investments to local community initiatives and projects since 2012 hellas gold operates as a subsidiary of the canadian based eldorado gold corporation which has over 25 years of experience in exploration construction and operation of mines around the world we live our values in pursuit of our purpose to find a better way to do things we aim to break new ground in all that we do we do this by creating a positive impact today and for future generations through our commitment to operating safely sustainably and profitably the company offers the opportunity to those who wish to express interest in the position of vendor master data analyst for its premises in thessaloniki the position will be reported to the financial accountant and ap manager of the finance department in thessaloniki main responsibilities handle balance confirmation requests received from vendors promptly and accurately coordinate with internal departments such as accounts payable and accounting to verify and confirm vendor balances address vendor queries and concerns regarding invoices payments and account statements obtain and review vendor statements for accuracy and completeness confirm that all transactions are captured and recorded in the accounting system and the respective clearing of the payment record and the vendor invoices has been completed successfully generate balance reconciliation letters and forward it as required receive incoming invoices through various channels hard copies mail email electronic submissions etc collaborate with relevant teams to implement enhancements for efficiency initiate and oversee the creation of new business partner master data in the system review and process requests for changes to existing business partner master data conduct annual reviews of business partner master data to verify its accuracy and completeness monitor and manage vendor payment terms in collaboration with the procurement team develop and execute processes for deactivating vendors when necessary and archive historical vendor data in accordance with data retention policies support integration projects and initiatives requirements a university degree preferably in accounting or finance at least 3 5 years of experience in a similar position with a good understanding of business processes strong analytical and problem solving skills excellent organizational skills ability to work under pressure and meet deadlines confidentiality honesty dedication responsibility initiative a proactive approach and time management skills excellent knowledge of laws and regulations with practical experience in ifrs certified public accountant license from the economic chamber excellent command of the english language strong knowledge of ms office and sap with a preference for sap s 4hana experience our company offers a competitive remuneration package that includes an attractive combination of basic salary and benefits as well as opportunities for development in a challenging work environment inclusion and diversityhellas gold is an equal opportunities employer we are committed to promoting an inclusive and diverse workplace where we value and respect every colleague for who they are and provide equality of opportunity so that everyone can fulfill their potential if you are looking for a global and dynamic environment please send us your cv in english,vendor data master analyst hella gold single member gold silver lead zinc min headquarter athen greece since 2004 hella gold operat kassandra min chalkidiki strictest eu safety environmental standard regulation kassandra min consist operat mine olympia state art kokkinolakka tailing management facility skoury project evolv min history 25 century hella gold invest development sustainable min region contribut local economic growth prosperity investment billion employment 600 person active support local supplier important investment local community initiativ project since 2012 hella gold operat subsidiary canadian bas eldorado gold corporation which 25 year experience exploration construction operation min around world live valu pursuit purpose find better way thing aim break new ground creat positive impact today future generation commitment operat safely sustainably profitably offer opportunity who wish express interest vendor master data analyst premis thessaloniki report financial accountant ap manager finance department thessaloniki main responsibility handle balance confirmation request receiv vendor promptly accurately coordinate internal department account payable account verify confirm vendor balanc address vendor query concern regard invoic payment account statement obtain review vendor statement accuracy completeness confirm transaction captur record account system respective clear payment record vendor invoic complet successfully generate balance reconciliation letter forward requir receive incom invoic variou channel hard copy mail email electronic submission collaborate relevant team implement enhancement efficiency initiate oversee creation new business partner master data system review process request chang exist business partner master data conduct annual review business partner master data verify accuracy completeness monitor manage vendor payment term collaboration procurement team develop execute process deactivat vendor necessary archive historical vendor data accordance data retention policy support integration project initiativ requirement university degree preferably account finance least year experience similar good understand business process strong analytical problem solv skill excellent organizational skill ability work pressure meet deadlin confidentiality honesty dedication responsibility initiative proactive approach time management skill excellent knowledge laws regulation practical experience ifrs certifi public accountant license economic chamber excellent command english language strong knowledge ms office sap preference sap 4hana experience offer competitive remuneration package includ attractive combination basic salary benefit well opportunity development challeng work environment inclusion diversityhella gold equal opportunity employer commit promot inclusive diverse workplace value respect every colleague who provide equality opportunity everyone fulfill potential look global dynamic environment please send us cv english,english
53831,ΒΙ Analyst,βι analyst we are seeking a detail oriented and analytical business intelligence bi analyst to join our team the bi analyst will be responsible for transforming data into actionable insights that drive business decisions and strategies the ideal candidate should have a strong background in data analysis excellent problem solving skills and proficiency with bi tools and techniques responsibilities data analysis collect analyze and interpret complex data sets to identify trends patterns and insights reporting develop and maintain dashboards reports and visualizations to communicate key performance metrics and business insights data integration integrate data from multiple sources to provide a comprehensive view of business performance business insights provide actionable insights and recommendations to support business strategies and decision making collaboration work closely with cross functional teams including marketing sales finance and operations to understand data needs and deliver insights data quality ensure data accuracy integrity and consistency across all reporting and analysis activities continuous improvement stay updated with the latest bi tools technologies and best practices to continually enhance data analysis processes problem solving identify and resolve data related issues and discrepancies qualifications bachelor s degree in data science statistics business analytics or a related field proven experience as a business intelligence analyst or in a similar role proficiency with bi tools such as tableau power bi or similar strong analytical and problem solving skills excellent communication and presentation skills ability to work independently and as part of a team strong understanding of data warehousing data modeling and database management proficiency with sql and data querying languages experience with statistical analysis and data mining is a plus interested parties are invited to submit their application to have the opportunity to work in a pleasant and supportive environment in a steadily growing company in the hotel industry all submitted applications and information will be examined under conditions of absolute confidentiality and in accordance with the general data protection regulation gdpr,βι analyst seek detail orient analytical business intelligence bi analyst join team bi analyst responsible transform data actionable insight drive business decision strategy ideal candidate strong background data analysi excellent problem solv skill proficiency bi tool techniqu responsibility data analysi collect analyze interpret complex data sets identify trend pattern insight report develop maintain dashboard report visualization communicate key performance metric business insight data integration integrate data multiple sourc provide comprehensive view business performance business insight provide actionable insight recommendation support business strategy decision mak collaboration work closely cross functional team includ market sal finance operation understand data need deliver insight data quality ensure data accuracy integrity consistency across report analysi activity continuou improvement stay updat latest bi tool technology best practic continually enhance data analysi process problem solv identify resolve data relat issu discrepancy qualification bachelor degree data science statistic business analytic relat field proven experience business intelligence analyst similar proficiency bi tool tableau power bi similar strong analytical problem solv skill excellent communication presentation skill ability work independently part team strong understand data warehous data model database management proficiency sql data query languag experience statistical analysi data min plus interest party invit submit application opportunity work pleasant supportive environment steadily grow hotel industry submit application information examin condition absolute confidentiality accordance general data protection regulation gdpr,english
53847,Power Portfolio Analyst,power portfolio analyst at metlen energy and metals we are catalysts for a sustainable future leading the green energy transition with innovative solutions while being a reference point for competitive green metallurgy our global presence covers two business sectors energy and metallurgy with a consolidated yearly turnover of 6 3 billion and a workforce of over 5 500 dedicated individuals we fuel success through cutting edge technology and diverse talent we are committed to embracing new state of the art technologies and advancements propelling us towards a cleaner brighter tomorrow our positive footprint extends across five continents leaving a lasting impact we foster a culture of resilience challenge respect excellence and change empowering our diverse workforce to achieve remarkable outcomes we are currently looking for a power portfolio analyst to join our operetions team part of our m energy customer solutions division in our paiania s offices by joining this role you ll play a vital role in supporting the operations of load forecasting costing analysis and reporting regarding mecs power portfolio your role will encompass conducting load forecast analysis regarding power portfolio creating customized energy price offers for b2b b2c customers regarding commodity and beyond conducting analysis and reports for external ministry of energy rae dnos etc stakeholders to support decision making processes within the unit conducting analysis and reports for internal finance sales etc stakeholders to support decision making processes within the unit collecting power costing data and serving them to company s databases and or the accountable departments contract and guarantee management with dnos handling of power dno settlements regarding energy purchased and regulated charges submission of objectives invoice tracking and payments ordering gos management for b2b b2c customers handling data what you bring to the role 2 plus years of experience in energy field hold a bachelor s degree in engineering finance economics mathematics statistics or a related field msc in energy markets economics or a related field will be considered as an asset proficiency in ms office excellent verbal and written communication in english language strong data management skills basic to advanced skills in programming languages used for data analysis modeling and data extraction rstudio vba sql python or similar experience on working with large databases integrating data and highlighting trends to support strategic decision making excellent analytical and problem solving skills strong time management project management and priorities management skills flexible thinker able to operate in a constantly changing and complex environment results oriented and self motivated your benefits competitive remuneration package ticket restaurant card group health insurance program protergia discount on electricity and natural gas bill follow us on linkedin and stay updated on our latest news we respect your personal data all personal information in your application and cv will remain strictly confidential at metlen energy and metals we are proud to have diversity and inclusion at the centre of everything we do we are committed to equal employment opportunity regardless of race colour national origin ethnicity gender age disability sexual orientation gender identity or religion,power portfolio analyst metlen energy metal catalyst sustainable future lead green energy transition innovative solution reference point competitive green metallurgy global presence cover two business sector energy metallurgy consolidat yearly turnover billion workforce 500 dedicat individual fuel success cut edge technology diverse talent commit embrac new state art technology advancement propel us toward cleaner brighter tomorrow positive footprint extend across five continent leav last impact foster culture resilience challenge respect excellence change empower diverse workforce achieve remarkable outcom currently look power portfolio analyst join operetion team part energy customer solution division paiania offic join ll play vital support operation load forecast cost analysi report regard mecs power portfolio encompass conduct load forecast analysi regard power portfolio creat customiz energy price offer b2b b2c customer regard commodity beyond conduct analysi report external ministry energy rae dnos stakeholder support decision mak process within unit conduct analysi report internal finance sal stakeholder support decision mak process within unit collect power cost data serv them databas accountable department contract guarantee management dnos handl power dno settlement regard energy purchas regulat charg submission objectiv invoice track payment order gos management b2b b2c customer handl data what bring plus year experience energy field hold bachelor degree engineer finance economic mathematic statistic relat field msc energy market economic relat field consider asset proficiency ms office excellent verbal written communication english language strong data management skill basic advanc skill program languag used data analysi model data extraction rstudio vba sql python similar experience work large databas integrat data highlight trend support strategic decision mak excellent analytical problem solv skill strong time management project management priority management skill flexible thinker able operate constantly chang complex environment result orient self motivat benefit competitive remuneration package ticket restaurant card group health insurance program protergia discount electricity natural gas bill follow us linkedin stay updat latest news respect personal data personal information application cv remain strictly confidential metlen energy metal proud diversity inclusion centre everyth commit equal employment opportunity regardless race colour national origin ethnicity gender age disability sexual orientation gender identity religion,english
53849,Sales Intelligence Analyst,sales intelligence analyst at metlen energy and metals we are catalysts for a sustainable future leading the green energy transition with innovative solutions while being a reference point for competitive green metallurgy our global presence covers two business sectors energy and metallurgy with a consolidated yearly turnover of 6 3 billion and a workforce of over 5 500 dedicated individuals we fuel success through cutting edge technology and diverse talent we are committed to embracing new state of the art technologies and advancements propelling us towards a cleaner brighter tomorrow our positive footprint extends across five continents leaving a lasting impact we foster a culture of resilience challenge respect excellence and change empowering our diverse workforce to achieve remarkable outcomes we are currently looking for sales intelligence analyst to join our β2β team part of our m energy customer solution division in our paiania s offices by joining this role you ll play a vital part in collecting and analyzing data of existing or prospective customers providing facts and figures about the competition and presenting reports to inform and empower the sales team your role will encompass gathering evaluating and analyzing data from internal or external sources about competition monitoring market trends to identify potential opportunities and threats preparing accurate reports combining company and competition data collaborating with other departments to confirm the accuracy and relevance of information communicating new needs to the process specialist to create or modify reports verifying the reliability of data received from various sources continuously searching for new competition strategies being in contact with account managers to empower them with strong argumentation points what you bring to the role bachelor s or diploma degree in business what or engineering at least 2 years of experience as a data analyst business analyst or a similar role within a sales or commercial department excellent knowledge of the english language advanced skills in excel including the ability to maintain complex spreadsheets proficiency in powerpoint with the ability to create charts graphs and images to convey business metrics familiarity with powerbi proficiency in salesforce analytics including reports and dashboards is a significant asset experience in data visualization and presenting insights to sales teams ability to multitask and prioritize tasks effectively high level of organization and attention to detail ability to create clear and concise presentations understanding of how data analysis impacts sales strategies your benefits competitive remuneration package ticket restaurant card group health insurance program protergia discount on electricity and natural gas bill pension plan follow us on linkedin and stay updated on our latest news we respect your personal data all personal information in your application and cv will remain strictly confidential at metlen energy and metals we are proud to have diversity and inclusion at the centre of everything we do we are committed to equal employment opportunity regardless of race colour national origin ethnicity gender age disability sexual orientation gender identity or religion,sal intelligence analyst metlen energy metal catalyst sustainable future lead green energy transition innovative solution reference point competitive green metallurgy global presence cover two business sector energy metallurgy consolidat yearly turnover billion workforce 500 dedicat individual fuel success cut edge technology diverse talent commit embrac new state art technology advancement propel us toward cleaner brighter tomorrow positive footprint extend across five continent leav last impact foster culture resilience challenge respect excellence change empower diverse workforce achieve remarkable outcom currently look sal intelligence analyst join β2β team part energy customer solution division paiania offic join ll play vital part collect analyz data exist prospective customer provid fact figur competition present report inform empower sal team encompass gather evaluat analyz data internal external sourc competition monitor market trend identify potential opportunity threat prepar accurate report combin competition data collaborat department confirm accuracy relevance information communicat new need process specialist create modify report verify reliability data receiv variou sourc continuously search new competition strategy contact account manager empower them strong argumentation point what bring bachelor diploma degree business what engineer least year experience data analyst business analyst similar within sal commercial department excellent knowledge english language advanc skill excel includ ability maintain complex spreadsheet proficiency powerpoint ability create chart graph imag convey business metric familiarity powerbi proficiency salesforce analytic includ report dashboard significant asset experience data visualization present insight sal team ability multitask prioritize task effectively high level organization attention detail ability create clear concise presentation understand data analysi impact sal strategy benefit competitive remuneration package ticket restaurant card group health insurance program protergia discount electricity natural gas bill pension plan follow us linkedin stay updat latest news respect personal data personal information application cv remain strictly confidential metlen energy metal proud diversity inclusion centre everyth commit equal employment opportunity regardless race colour national origin ethnicity gender age disability sexual orientation gender identity religion,english
