microskill_1,microskill_2,cooccurrence_count
Ανάλυση και αξιολόγηση ροών εργασίας,Παρακολούθηση και έλεγχος ροών εργασίας,6
Ανάλυση και αξιολόγηση ροών εργασίας,Οργάνωση και διαχείριση ροών εργασίας,6
Ανάλυση και αξιολόγηση ροών εργασίας,Συντονισμός και προτεραιοποίηση ροών εργασίας,6
Αποτελεσματική χρήση GPT,Διαχείριση προσοχής και συγκέντρωσης,5
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,5
Αποτελεσματική αναζήτηση στο διαδίκτυο,Διαχείριση προσοχής και συγκέντρωσης,5
Παρακολούθηση και έλεγχος αναφορών προόδου,Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,4
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,4
Παρακολούθηση και έλεγχος αναφορών προόδου,Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,4
Παρακολούθηση και έλεγχος αναφορών προόδου,Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,4
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,4
Επιβεβαίωση οδηγιών και απαιτήσεων,Σύνταξη επαγγελματικών email,4
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,4
Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,4
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος αναφορών προόδου,4
Αποτελεσματική αναζήτηση στο διαδίκτυο,Διαχείριση χρόνου,4
Διαχείριση χρόνου,Οργάνωση και διαχείριση ροών εργασίας,4
Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,4
Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,4
Οργάνωση και διαχείριση ημερολογίων εργασίας,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,3
Παρακολούθηση και έλεγχος ημερολογίων εργασίας,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,3
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Σαφής και συνοπτική επικοινωνία,3
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,3
Διαχείριση χρόνου,Τεκμηρίωση και βελτίωση ροών εργασίας,3
Ενεργητική ακρόαση,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,3
Ανάλυση και αξιολόγηση δεδομένων αγοράς,Σαφής και συνοπτική επικοινωνία,3
Αποτελεσματική χρήση GPT,Διαχείριση χρόνου,3
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών,3
Αποτελεσματική χρήση GPT,Ενεργητική ακρόαση,3
Αυτοματοποίηση επαναλαμβανόμενων εργασιών,Σύνταξη επαγγελματικών email,3
Αποτελεσματική χρήση GPT,Οργάνωση ψηφιακού χώρου εργασίας,3
Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,3
Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,3
Παρακολούθηση και έλεγχος αναφορών προόδου,Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,3
Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,3
Ανάλυση και αξιολόγηση ροών εργασίας,Διαχείριση χρόνου,3
Διαχείριση χρόνου,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,3
Διαχείριση χρόνου,Συντονισμός και προτεραιοποίηση ροών εργασίας,3
Διαχείριση χρόνου,Παρακολούθηση και έλεγχος ροών εργασίας,3
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Οργάνωση και διαχείριση ημερολογίων εργασίας,3
Οργάνωση και διαχείριση ημερολογίων εργασίας,Παρακολούθηση και έλεγχος ημερολογίων εργασίας,3
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Παρακολούθηση και έλεγχος ημερολογίων εργασίας,3
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,3
Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2
Αυτοματοποίηση επαναλαμβανόμενων εργασιών,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,2
Διαχείριση χρόνου,Οργάνωση και διαχείριση εργασιακών διαδικασιών,2
Οργάνωση και διαχείριση εργασιακών διαδικασιών,Σαφής και συνοπτική επικοινωνία,2
Ανάλυση και αξιολόγηση αναφορών προόδου,Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,2
Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,2
Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,2
Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2
Ανάλυση και αξιολόγηση αναφορών προόδου,Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,2
Ανάλυση και αξιολόγηση αναφορών προόδου,Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2
Ανάλυση και αξιολόγηση αναφορών προόδου,Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,2
Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,2
Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,Σαφής και συνοπτική επικοινωνία,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Σαφής και συνοπτική επικοινωνία,2
Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών,Σαφής και συνοπτική επικοινωνία,2
Παρακολούθηση και έλεγχος ημερολογίων εργασίας,Σαφής και συνοπτική επικοινωνία,2
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,2
Διαχείριση προσοχής και συγκέντρωσης,Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών,2
Ενεργητική ακρόαση,Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών,2
Παρακολούθηση και έλεγχος ημερολογίων εργασίας,Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,2
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,2
Οργάνωση και διαχείριση ημερολογίων εργασίας,Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,2
Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,2
Οργάνωση και διαχείριση ημερολογίων εργασίας,Σαφής και συνοπτική επικοινωνία,2
Αποτελεσματική χρήση GPT,Αυτοματοποίηση επαναλαμβανόμενων εργασιών,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Σαφής και συνοπτική επικοινωνία,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,2
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,2
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,2
Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,Σύνταξη επαγγελματικών email,2
Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,Σαφής και συνοπτική επικοινωνία,2
Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,2
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,Σύνταξη επαγγελματικών email,2
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,Σαφής και συνοπτική επικοινωνία,2
Σύνταξη επαγγελματικών email,Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Ανάλυση και αξιολόγηση αναφορών προόδου,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,2
Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2
Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,Σύνταξη επαγγελματικών email,2
Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2
Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2
Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2
Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,2
Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,Σαφής και συνοπτική επικοινωνία,2
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,2
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2
Σαφής και συνοπτική επικοινωνία,Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,2
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2
Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,2
Αποτελεσματική αναζήτηση στο διαδίκτυο,Οργάνωση ψηφιακού χώρου εργασίας,2
Οργάνωση ψηφιακού χώρου εργασίας,Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών,2
Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,2
Διαχείριση προσοχής και συγκέντρωσης,Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών,2
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Διαχείριση χρόνου,1
Διαχείριση χρόνου,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,1
Διαχείριση χρόνου,Οργάνωση και διαχείριση ημερολογίων εργασίας,1
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,Παρακολούθηση και έλεγχος ροών εργασίας,1
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,Οργάνωση και διαχείριση ροών εργασίας,1
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,Τεκμηρίωση και βελτίωση ροών εργασίας,1
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,Ανάλυση και αξιολόγηση ροών εργασίας,1
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,Συντονισμός και προτεραιοποίηση ροών εργασίας,1
Παρακολούθηση και έλεγχος ημερολογίων εργασίας,Σύνταξη επαγγελματικών email,1
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,Σύνταξη επαγγελματικών email,1
Οργάνωση και διαχείριση ημερολογίων εργασίας,Σύνταξη επαγγελματικών email,1
Σύνταξη επαγγελματικών email,Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,1
Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,Σαφής και συνοπτική επικοινωνία,1
Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,Σαφής και συνοπτική επικοινωνία,1
Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,Σαφής και συνοπτική επικοινωνία,1
Παρακολούθηση και έλεγχος αναφορών προόδου,Σαφής και συνοπτική επικοινωνία,1
Διαχείριση χρόνου,Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,1
Διαχείριση χρόνου,Παρακολούθηση και έλεγχος ημερολογίων εργασίας,1
Επιβεβαίωση οδηγιών και απαιτήσεων,Οργάνωση και διαχείριση ροών εργασίας,1
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,1
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,1
Διαχείριση χρόνου,Παρακολούθηση και έλεγχος ανατροφοδότησης ομάδας,1
Παρακολούθηση και έλεγχος παρουσιάσεων,Τεκμηρίωση και βελτίωση παρουσιάσεων,1
Διαχείριση χρόνου,Παρακολούθηση και έλεγχος παρουσιάσεων,1
Διαχείριση χρόνου,Οργάνωση και διαχείριση παρουσιάσεων,1
Διαχείριση χρόνου,Τεκμηρίωση και βελτίωση παρουσιάσεων,1
Οργάνωση και διαχείριση παρουσιάσεων,Παρακολούθηση και έλεγχος παρουσιάσεων,1
Ανάλυση και αξιολόγηση παρουσιάσεων,Παρακολούθηση και έλεγχος παρουσιάσεων,1
Ανάλυση και αξιολόγηση παρουσιάσεων,Οργάνωση και διαχείριση παρουσιάσεων,1
Διαχείριση προσοχής και συγκέντρωσης,Οργάνωση και διαχείριση παρουσιάσεων,1
Ανάλυση και αξιολόγηση παρουσιάσεων,Τεκμηρίωση και βελτίωση παρουσιάσεων,1
Ανάλυση και αξιολόγηση παρουσιάσεων,Διαχείριση χρόνου,1
Ανάλυση και αξιολόγηση παρουσιάσεων,Διαχείριση προσοχής και συγκέντρωσης,1
Διαχείριση προσοχής και συγκέντρωσης,Παρακολούθηση και έλεγχος παρουσιάσεων,1
Διαχείριση προσοχής και συγκέντρωσης,Τεκμηρίωση και βελτίωση παρουσιάσεων,1
Οργάνωση και διαχείριση παρουσιάσεων,Τεκμηρίωση και βελτίωση παρουσιάσεων,1
Αποτελεσματική αναζήτηση στο διαδίκτυο,Σύνταξη επαγγελματικών email,1
Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1
Αποτελεσματική αναζήτηση στο διαδίκτυο,Ενεργητική ακρόαση,1
Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,1
Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1
Σαφής και συνοπτική επικοινωνία,Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,1
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1
Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,Σαφής και συνοπτική επικοινωνία,1
Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1
Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,1
Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,Σαφής και συνοπτική επικοινωνία,1
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,Σαφής και συνοπτική επικοινωνία,1
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,1
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1
Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,1
Ανάλυση και αξιολόγηση δεικτών απόδοσης,Αυτοματοποίηση επαναλαμβανόμενων εργασιών,1
Ανάλυση και αξιολόγηση δεικτών απόδοσης,Διαχείριση προσοχής και συγκέντρωσης,1
Ανάλυση και αξιολόγηση δεικτών απόδοσης,Διαχείριση χρόνου,1
Ανάλυση και αξιολόγηση δεικτών απόδοσης,Ενεργητική ακρόαση,1
Παρακολούθηση και έλεγχος ροών εργασίας,Σαφής και συνοπτική επικοινωνία,1
Οργάνωση και διαχείριση ροών εργασίας,Σαφής και συνοπτική επικοινωνία,1
Ανάλυση και αξιολόγηση ροών εργασίας,Σαφής και συνοπτική επικοινωνία,1
Σύνταξη επαγγελματικών email,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,1
Αποτελεσματική χρήση GPT,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,1
Σαφής και συνοπτική επικοινωνία,Συντονισμός και προτεραιοποίηση ροών εργασίας,1
Σαφής και συνοπτική επικοινωνία,Τεκμηρίωση και βελτίωση ροών εργασίας,1
Οργάνωση και διαχείριση εργασιακών διαδικασιών,Οργάνωση ψηφιακού χώρου εργασίας,1
Αποτελεσματική χρήση GPT,Σύνταξη επαγγελματικών email,1
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,Σαφής και συνοπτική επικοινωνία,1
Σαφής και συνοπτική επικοινωνία,Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,1
Διαχείριση προσοχής και συγκέντρωσης,Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,1
